59054318029308910  5.5744342339581516e-15
68356697142366830  3.898582046382844e-15
83458077602159780  2.5600246069016657e-15
100543255035320340  1.6809852774253586e-15
122740298126689730  1.0362443720674451e-15
153902112830676960  6.524424921656457e-16
178137889435354270  4.467882312100461e-16
217563050396491550  3.4722449056548945e-16
265670425280300770  2.48046665002389e-16
337683242282713600  1.772186847512998e-16
401576457367980540  1.4364004807078139e-16
490412688680901500  1.0702651286789603e-16
575416496869491500  8.316621298905138e-17
761456835605487200  6.602495194160788e-17
968173336706524800  5.582842471408815e-17
1182640425190899700  4.720082394705972e-17
1425558232309494500  4.1621610952958985e-17
1788431692663362800  3.4458953079888823e-17
2463950741069254000  3.039823003960244e-17
3091648996142435300  2.7378967868855257e-17
3984641082504902700  2.5722550015366784e-17
5273791482200773000  2.2215739259659187e-17
7562943305078663000  1.9600180097601817e-17
10845286862700880000  1.6932183205211244e-17
17074868354424406000  1.3735690883304937e-17
23843655801046696000  1.2907840926148543e-17
33295713334824866000  1.21298854779315e-17
47753948632219070000  1.1399746112382887e-17
68487696708569150000  1.0490284396362853e-17
98215594805083360000  9.255215909791353e-18
