SN2015W	06:57:43.030	+13:34:45.70	IIP	"2015-01-12 00:00:00"	"2015-01-02 00:00:00"
SN2015E	03:13:35.311	+00:15:03.10	Ia	"2015-01-13 00:00:00"	"2014-12-31 00:00:00"
SN2015D	13:12:41.160	+12:36:01.80	IIP	"2015-01-18 00:00:00"	"2015-01-06 00:00:00"
SN2015B	12:54:35.530	-12:34:18.59	Ia	"2015-01-05 00:00:00"	"2014-12-21 00:00:00"
SN2015A	09:41:15.550	+35:53:17.41	Ia	"2015-01-09 00:00:00"	"2015-01-02 00:00:00"
SN2014dz	03:28:14.191	+38:01:11.10	Ia	"2014-12-20 00:00:00"	"2014-12-10 00:00:00"
SN2014dy	02:48:57.859	-00:45:38.48	Ia	"2014-12-19 00:00:00"	"2014-12-10 00:00:00"
