"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Discovering Group/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag"	"Discovery Mag Filter"	"Discovery Date (UT)"	"Sender"	"Ext. catalog/s"
"17461"	"SN 2017pp"	"12:44:41.020"	"+10:20:41.40"	"SN Ia-91T-like"	"0.03"	"PGC1378162"	""	"ISSP, Pan-STARRS1"	"NUTS, PESSTO"	"ISSP; Pan-STARRS1"	""	"Other - Other, PS1 - GPC1"	"NOT - ALFOSC, ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.1"	"Clear-"	"2017-01-26 03:50:24"	"Ciabattari"	""
"17459"	"SN 2017pn"	"04:46:24.588"	"-11:59:18.25"	"SN II"	"0.014"	""	""	"ATLAS"	"PESSTO"	"ATLAS"	"ATLAS17amz"	"ATLAS1 - ACAM1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.51"	"cyan-ATLAS"	"2017-01-26 07:29:16"	"ATLAS_Bot1"	""
"17432"	"SN 2017on"	"04:09:46.890"	"+24:53:46.82"	"SN Ia"	"0.035"	""	""	"GaiaAlerts, Pan-STARRS1"	"NUTS"	"GaiaAlerts; Pan-STARRS1"	"Gaia17afo"	"Gaia - Gaia-photometric, PS1 - GPC1"	"NOT - ALFOSC"	"1"	"1"	""	"18.47"	"G-Gaia"	"2017-01-22 21:14:24"	"Gaia_Bot1"	""
"17416"	"SN 2017nx"	"06:24:07.000"	"+36:19:60.00"	"SN Ia"	"0.089"	""	""	"PIKA"	"Padova-Asiago"	"PIKA"	""	"Other - Other"	"Ekar - AFOSC"	"1"	"1"	""	"18.2"	"Clear-"	"2017-01-23 21:20:58"	"Mikuz"	""
"17415"	"SN 2017nw"	"11:16:12.610"	"+02:48:29.13"	"SN Ia"	"0.077"	""	""	"ATLAS, Pan-STARRS1"	"PESSTO"	"ATLAS; Pan-STARRS1"	"ATLAS17ali"	"ATLAS1 - ACAM1, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18.32"	"cyan-ATLAS"	"2017-01-23 14:31:12"	"ATLAS_Bot1"	""
"17412"	"SN 2017nt"	"23:53:31.133"	"+03:44:08.18"	"SN Ia-91T-like"	"0.0388"	""	""	"ATLAS"	"Padova-Asiago"	"ATLAS"	"ATLAS17akw"	"ATLAS1 - ACAM1"	"Ekar - AFOSC"	"1"	"1"	""	"16.76"	"cyan-ATLAS"	"2017-01-23 05:08:09"	"ATLAS_Bot1"	""
"17411"	"SN 2017ns"	"02:49:10.364"	"+14:36:02.48"	"SN Ia"	"0.0279"	""	""	"ATLAS, Pan-STARRS1, GaiaAlerts"	"Padova-Asiago"	"ATLAS; GaiaAlerts; Pan-STARRS1"	"ATLAS17alb"	"ATLAS1 - ACAM1, PS1 - GPC1, Gaia - Gaia-photometric"	"Ekar - AFOSC"	"1"	"1"	""	"17.51"	"cyan-ATLAS"	"2017-01-23 07:32:09"	"ATLAS_Bot1"	""
"17400"	"SN 2017nh"	"07:10:13.639"	"+27:12:09.79"	"SN Ia"	"0.06"	"2MASX J07101346+2712041"	""	"ASAS-SN, Pan-STARRS1, iPTF"	""	"ASAS-SN; iPTF; Pan-STARRS1"	"ASASSN-17bc"	"ASASSN-1 - Brutus, ASASSN-2 - Cassius, PS1 - GPC1, P48 - CFH12k"	"BAO-2.16m - Phot-spec"	"1"	"1"	""	"17.6"	"V-Johnson"	"2017-01-23 08:23:59"	"Stanek"	""
"17399"	"SN 2017ng"	"15:20:40.817"	"+04:39:34.13"	"SN Ia"	"0.03"	"2MASX J15204087+0439331"	""	"ASAS-SN, GaiaAlerts"	"ePESSTO"	"ASAS-SN; GaiaAlerts"	"ASASSN-17bb"	"ASASSN-1 - Brutus, Gaia - Gaia-photometric"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"16.9"	"V-Johnson"	"2017-01-23 15:21:36"	"Stanek"	""
"17398"	"SN 2017nf"	"11:10:52.790"	"+28:16:27.20"	"SN I"	"0.037"	"UGC 6218"	""	"POSS, Pan-STARRS1"	"ePESSTO"	"Pan-STARRS1; POSS"	""	"Other - Other, PS1 - GPC1"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"18"	"Clear-"	"2017-01-22 09:26:26"	"Puckett"	""
