freq : 100.00 MHz
SWR : 1.965000
 Theta 	 Phi 	 Gain(dB)     	   Gain     	    Phase(deg)
15 	 120 	 -19.54328     	   0.011108924112     	    -103.1992
15 	 135 	 -19.40465     	   0.0114692494893     	    -103.4421
15 	 150 	 -19.26807     	   0.0118356741496     	    -103.6778
15 	 165 	 -19.14258     	   0.0121826565254     	    -103.8913
15 	 180 	 -19.03617     	   0.0124848405461     	    -104.07
15 	 195 	 -18.95534     	   0.0127193816883     	    -104.2044
15 	 210 	 -18.90489     	   0.0128679984524     	    -104.2876
15 	 225 	 -18.88774     	   0.0129189137862     	    -104.3158
15 	 240 	 -18.90489     	   0.0128679984524     	    -104.2876
15 	 255 	 -18.95533     	   0.0127194109758     	    -104.2043
15 	 270 	 -19.03616     	   0.0124848692935     	    -104.0699
15 	 285 	 -19.14257     	   0.0121826845771     	    -103.8911
15 	 300 	 -19.26805     	   0.011835728655     	    -103.6777
15 	 315 	 -19.40464     	   0.0114692758982     	    -103.4419
15 	 330 	 -19.54326     	   0.0111089752706     	    -103.199
15 	 345 	 -19.67433     	   0.0107787152756     	    -102.9659
15 	 360 	 -19.78837     	   0.0104993641829     	    -102.7602
30 	 0 	 -13.86115     	   0.0411040864188     	    -103.0897
30 	 15 	 -13.90121     	   0.0407266792256     	    -103.0101
30 	 30 	 -13.92648     	   0.0404903937408     	    -102.9597
30 	 45 	 -13.93511     	   0.0404100139159     	    -102.9425
30 	 60 	 -13.92648     	   0.0404903937408     	    -102.9597
30 	 75 	 -13.90121     	   0.0407266792256     	    -103.0101
30 	 90 	 -13.86115     	   0.0411040864188     	    -103.0898
30 	 105 	 -13.80921     	   0.0415986273272     	    -103.1927
30 	 120 	 -13.74908     	   0.0421785844163     	    -103.3113
30 	 135 	 -13.68499     	   0.0428056405221     	    -103.437
30 	 150 	 -13.62134     	   0.0434376178286     	    -103.5613
30 	 165 	 -13.56243     	   0.0440308429596     	    -103.6757
30 	 180 	 -13.51213     	   0.0445437729603     	    -103.773
30 	 195 	 -13.47372     	   0.0449394755671     	    -103.8471
30 	 210 	 -13.44966     	   0.045189132061     	    -103.8934
30 	 225 	 -13.44146     	   0.0452745351551     	    -103.9091
30 	 240 	 -13.44966     	   0.045189132061     	    -103.8933
30 	 255 	 -13.47372     	   0.0449394755671     	    -103.847
30 	 270 	 -13.51212     	   0.0445438755262     	    -103.773
30 	 285 	 -13.56242     	   0.0440309443445     	    -103.6757
30 	 300 	 -13.62134     	   0.0434376178286     	    -103.5612
30 	 315 	 -13.68499     	   0.0428056405221     	    -103.4369
30 	 330 	 -13.74908     	   0.0421785844163     	    -103.3112
30 	 345 	 -13.8092     	   0.0415987231117     	    -103.1926
30 	 360 	 -13.86115     	   0.0411040864188     	    -103.0897
45 	 0 	 -10.77579     	   0.0836413434781     	    -103.1826
45 	 15 	 -10.79872     	   0.083200895371     	    -103.1268
45 	 30 	 -10.81317     	   0.0829245264289     	    -103.0915
45 	 45 	 -10.8181     	   0.0828304460341     	    -103.0795
45 	 60 	 -10.81317     	   0.0829245264289     	    -103.0916
45 	 75 	 -10.79872     	   0.083200895371     	    -103.1268
45 	 90 	 -10.77579     	   0.0836413434781     	    -103.1827
45 	 105 	 -10.74599     	   0.084217239137     	    -103.2552
45 	 120 	 -10.71141     	   0.0848904821034     	    -103.3392
45 	 135 	 -10.67445     	   0.085616013084     	    -103.429
45 	 150 	 -10.63763     	   0.0863449614614     	    -103.5182
45 	 165 	 -10.60346     	   0.0870269974441     	    -103.6009
45 	 180 	 -10.57421     	   0.0876151078719     	    -103.6716
45 	 195 	 -10.55184     	   0.0880675673111     	    -103.7257
45 	 210 	 -10.5378     	   0.0883527354397     	    -103.7596
45 	 225 	 -10.53302     	   0.0884500331471     	    -103.7711
45 	 240 	 -10.5378     	   0.0883527354397     	    -103.7596
45 	 255 	 -10.55183     	   0.0880677700944     	    -103.7257
45 	 270 	 -10.57421     	   0.0876151078719     	    -103.6716
45 	 285 	 -10.60345     	   0.0870271978314     	    -103.6009
45 	 300 	 -10.63763     	   0.0863449614614     	    -103.5181
45 	 315 	 -10.67444     	   0.0856162102224     	    -103.4289
45 	 330 	 -10.7114     	   0.0848906775711     	    -103.3392
45 	 345 	 -10.74599     	   0.084217239137     	    -103.2551
45 	 360 	 -10.77579     	   0.0836413434781     	    -103.1826
60 	 0 	 -8.97172     	   0.126714991854     	    -103.2159
60 	 15 	 -8.984909     	   0.126330757428     	    -103.1702
60 	 30 	 -8.993211     	   0.12608949345     	    -103.1414
60 	 45 	 -8.996045     	   0.126007240261     	    -103.1316
60 	 60 	 -8.993212     	   0.126089464417     	    -103.1414
60 	 75 	 -8.984911     	   0.12633069925     	    -103.1702
60 	 90 	 -8.971723     	   0.126714904322     	    -103.2159
60 	 105 	 -8.954567     	   0.127216458103     	    -103.2754
60 	 120 	 -8.934631     	   0.127801779223     	    -103.3445
60 	 135 	 -8.913286     	   0.1284314542     	    -103.4185
60 	 150 	 -8.891992     	   0.129062715948     	    -103.4923
60 	 165 	 -8.872196     	   0.129652352109     	    -103.5609
60 	 180 	 -8.855232     	   0.13015977824     	    -103.6198
60 	 195 	 -8.842238     	   0.130549796745     	    -103.6648
60 	 210 	 -8.83408     	   0.130795258341     	    -103.6931
60 	 225 	 -8.831298     	   0.130879069901     	    -103.7028
60 	 240 	 -8.834079     	   0.130795288458     	    -103.6931
60 	 255 	 -8.842235     	   0.130549886926     	    -103.6648
60 	 270 	 -8.855227     	   0.130159928092     	    -103.6197
60 	 285 	 -8.872191     	   0.129652501377     	    -103.5609
60 	 300 	 -8.891987     	   0.129062864537     	    -103.4922
60 	 315 	 -8.91328     	   0.128431631635     	    -103.4184
60 	 330 	 -8.934625     	   0.127801955788     	    -103.3444
60 	 345 	 -8.954562     	   0.127216604567     	    -103.2753
60 	 360 	 -8.97172     	   0.126714991854     	    -103.2159
75 	 0 	 -7.992003     	   0.158781426738     	    -103.2236
75 	 15 	 -7.998124     	   0.158557795868     	    -103.1825
75 	 30 	 -8.001976     	   0.158417224464     	    -103.1567
75 	 45 	 -8.003292     	   0.158369228118     	    -103.1479
75 	 60 	 -8.001977     	   0.158417187987     	    -103.1567
75 	 75 	 -7.998127     	   0.15855768634     	    -103.1825
75 	 90 	 -7.992006     	   0.158781317056     	    -103.2236
75 	 105 	 -7.984038     	   0.159072900509     	    -103.2772
75 	 120 	 -7.974771     	   0.159412693553     	    -103.3394
75 	 135 	 -7.964839     	   0.159777676013     	    -103.4062
75 	 150 	 -7.954919     	   0.160143051625     	    -103.473
75 	 165 	 -7.945687     	   0.160483837249     	    -103.5351
75 	 180 	 -7.93777     	   0.160776659142     	    -103.5884
75 	 195 	 -7.931701     	   0.161001491757     	    -103.6293
75 	 210 	 -7.927889     	   0.161142872121     	    -103.655
75 	 225 	 -7.926589     	   0.161191115214     	    -103.6638
75 	 240 	 -7.927887     	   0.16114294633     	    -103.655
75 	 255 	 -7.931698     	   0.161001602973     	    -103.6293
75 	 270 	 -7.937767     	   0.160776770203     	    -103.5884
75 	 285 	 -7.945683     	   0.16048398506     	    -103.5351
75 	 300 	 -7.954915     	   0.160143199122     	    -103.4729
75 	 315 	 -7.964835     	   0.159777823174     	    -103.4062
75 	 330 	 -7.974767     	   0.159412840378     	    -103.3394
75 	 345 	 -7.984034     	   0.159073047021     	    -103.2771
75 	 360 	 -7.992003     	   0.158781426738     	    -103.2236
90 	 0 	 -7.663822     	   0.171244960629     	    -103.2167
90 	 15 	 -7.663869     	   0.171243107401     	    -103.1771
90 	 30 	 -7.663899     	   0.171241924499     	    -103.1522
90 	 45 	 -7.663911     	   0.171241451341     	    -103.1437
90 	 60 	 -7.663901     	   0.171241845639     	    -103.1522
90 	 75 	 -7.663871     	   0.17124302854     	    -103.1771
90 	 90 	 -7.663826     	   0.171244802907     	    -103.2168
90 	 105 	 -7.663769     	   0.171247050464     	    -103.2684
90 	 120 	 -7.663706     	   0.171249534641     	    -103.3286
90 	 135 	 -7.663642     	   0.171252058286     	    -103.3931
90 	 150 	 -7.66358     	   0.171254503102     	    -103.4576
90 	 165 	 -7.663522     	   0.171256790221     	    -103.5178
90 	 180 	 -7.663476     	   0.171258604163     	    -103.5694
90 	 195 	 -7.663443     	   0.171259905482     	    -103.609
90 	 210 	 -7.663424     	   0.171260654731     	    -103.6339
90 	 225 	 -7.663417     	   0.171260930771     	    -103.6424
90 	 240 	 -7.663422     	   0.171260733599     	    -103.6339
90 	 255 	 -7.66344     	   0.171260023784     	    -103.609
90 	 270 	 -7.663472     	   0.171258761899     	    -103.5694
90 	 285 	 -7.663518     	   0.171256947954     	    -103.5177
90 	 300 	 -7.663574     	   0.171254739699     	    -103.4576
90 	 315 	 -7.663637     	   0.171252255447     	    -103.3931
90 	 330 	 -7.663702     	   0.171249692368     	    -103.3285
90 	 345 	 -7.663764     	   0.17124724762     	    -103.2684
90 	 360 	 -7.663822     	   0.171244960629     	    -103.2167
105 	 0 	 -7.93811     	   0.160764072769     	    -103.1988
105 	 15 	 -7.932124     	   0.16098581108     	    -103.1581
105 	 30 	 -7.928364     	   0.161125248439     	    -103.1325
105 	 45 	 -7.927084     	   0.161172744026     	    -103.1238
105 	 60 	 -7.928365     	   0.161125211338     	    -103.1326
105 	 75 	 -7.932126     	   0.160985736944     	    -103.1581
105 	 90 	 -7.938114     	   0.1607639247     	    -103.1988
105 	 105 	 -7.945926     	   0.16047500578     	    -103.2518
105 	 120 	 -7.955035     	   0.160138774263     	    -103.3136
105 	 135 	 -7.964823     	   0.159778264657     	    -103.38
105 	 150 	 -7.974623     	   0.159418126153     	    -103.4464
105 	 165 	 -7.983765     	   0.159082900237     	    -103.5083
105 	 180 	 -7.991626     	   0.158795210749     	    -103.5615
105 	 195 	 -7.997666     	   0.158574518001     	    -103.6023
105 	 210 	 -8.001464     	   0.158435901745     	    -103.628
105 	 225 	 -8.00276     	   0.158388629145     	    -103.6368
105 	 240 	 -8.001463     	   0.158435938226     	    -103.628
105 	 255 	 -7.997662     	   0.158574664053     	    -103.6023
105 	 270 	 -7.991622     	   0.158795357004     	    -103.5615
105 	 285 	 -7.98376     	   0.159083083388     	    -103.5082
105 	 300 	 -7.974617     	   0.159418346397     	    -103.4463
105 	 315 	 -7.964816     	   0.15977852219     	    -103.3799
105 	 330 	 -7.955031     	   0.160138921757     	    -103.3136
105 	 345 	 -7.945921     	   0.160475190534     	    -103.2518
105 	 360 	 -7.93811     	   0.160764072769     	    -103.1988
120 	 0 	 -8.855598     	   0.130148809537     	    -103.1686
120 	 15 	 -8.842696     	   0.130536029899     	    -103.124
120 	 30 	 -8.834596     	   0.130779719036     	    -103.096
120 	 45 	 -8.831835     	   0.130862887858     	    -103.0865
120 	 60 	 -8.834597     	   0.130779688923     	    -103.096
120 	 75 	 -8.842699     	   0.130535939728     	    -103.124
120 	 90 	 -8.855603     	   0.130148659698     	    -103.1686
120 	 105 	 -8.87245     	   0.129644769527     	    -103.2268
120 	 120 	 -8.892108     	   0.129059268731     	    -103.2947
120 	 135 	 -8.913255     	   0.128432370949     	    -103.3677
120 	 150 	 -8.934451     	   0.127807076274     	    -103.4409
120 	 165 	 -8.954249     	   0.127225773514     	    -103.5092
120 	 180 	 -8.971285     	   0.126727684574     	    -103.568
120 	 195 	 -8.984381     	   0.126346117212     	    -103.6132
120 	 210 	 -8.992624     	   0.126106537078     	    -103.6416
120 	 225 	 -8.995436     	   0.126024911172     	    -103.6513
120 	 240 	 -8.992622     	   0.126106595152     	    -103.6416
120 	 255 	 -8.984377     	   0.126346233581     	    -103.6132
120 	 270 	 -8.97128     	   0.126727830475     	    -103.568
120 	 285 	 -8.954243     	   0.127225949283     	    -103.5092
120 	 300 	 -8.934445     	   0.127807252846     	    -103.4408
120 	 315 	 -8.913248     	   0.128432577958     	    -103.3677
120 	 330 	 -8.892103     	   0.129059417316     	    -103.2947
120 	 345 	 -8.872444     	   0.129644948638     	    -103.2268
120 	 360 	 -8.855598     	   0.130148809537     	    -103.1686
135 	 0 	 -10.57466     	   0.0876060299864     	    -103.1183
135 	 15 	 -10.55239     	   0.0880564149486     	    -103.0651
135 	 30 	 -10.53843     	   0.0883399196687     	    -103.0317
135 	 45 	 -10.53367     	   0.0884367959954     	    -103.0204
135 	 60 	 -10.53843     	   0.0883399196687     	    -103.0317
135 	 75 	 -10.5524     	   0.0880562121914     	    -103.0651
135 	 90 	 -10.57466     	   0.0876060299864     	    -103.1183
135 	 105 	 -10.60376     	   0.0870209860397     	    -103.1879
135 	 120 	 -10.63777     	   0.0863421780735     	    -103.2694
135 	 135 	 -10.6744     	   0.0856169987805     	    -103.3572
135 	 150 	 -10.71118     	   0.0848949779763     	    -103.4455
135 	 165 	 -10.74559     	   0.0842249961886     	    -103.5282
135 	 180 	 -10.77524     	   0.083651936671     	    -103.5995
135 	 195 	 -10.79806     	   0.0832135404232     	    -103.6545
135 	 210 	 -10.81244     	   0.0829384662773     	    -103.6891
135 	 225 	 -10.81734     	   0.0828449423379     	    -103.7009
135 	 240 	 -10.81243     	   0.0829386572504     	    -103.6891
135 	 255 	 -10.79806     	   0.0832135404232     	    -103.6545
135 	 270 	 -10.77524     	   0.083651936671     	    -103.5995
135 	 285 	 -10.74559     	   0.0842249961886     	    -103.5281
135 	 300 	 -10.71118     	   0.0848949779763     	    -103.4454
135 	 315 	 -10.67439     	   0.0856171959211     	    -103.3571
135 	 330 	 -10.63776     	   0.086342376884     	    -103.2693
135 	 345 	 -10.60376     	   0.0870209860397     	    -103.1879
135 	 360 	 -10.57466     	   0.0876060299864     	    -103.1183
150 	 0 	 -13.51276     	   0.0445373117818     	    -103.0196
150 	 15 	 -13.47451     	   0.0449313016302     	    -102.947
150 	 30 	 -13.45055     	   0.0451798723976     	    -102.9016
150 	 45 	 -13.44239     	   0.0452648410854     	    -102.8862
150 	 60 	 -13.45055     	   0.0451798723976     	    -102.9016
150 	 75 	 -13.47452     	   0.0449311981722     	    -102.947
150 	 90 	 -13.51277     	   0.044537209231     	    -103.0197
150 	 105 	 -13.56286     	   0.0440264836307     	    -103.1151
150 	 120 	 -13.62155     	   0.0434355174843     	    -103.2273
150 	 135 	 -13.68494     	   0.0428061333431     	    -103.3491
150 	 150 	 -13.74877     	   0.0421815952369     	    -103.4724
150 	 165 	 -13.80865     	   0.0416039915982     	    -103.5886
150 	 180 	 -13.86038     	   0.0411113747804     	    -103.6894
150 	 195 	 -13.90028     	   0.0407354013874     	    -103.7675
150 	 210 	 -13.92544     	   0.0405000910899     	    -103.8168
150 	 225 	 -13.93404     	   0.0404199712245     	    -103.8337
150 	 240 	 -13.92544     	   0.0405000910899     	    -103.8168
150 	 255 	 -13.90027     	   0.0407354951842     	    -103.7674
150 	 270 	 -13.86037     	   0.041111469443     	    -103.6894
150 	 285 	 -13.80864     	   0.0416040873951     	    -103.5885
150 	 300 	 -13.74876     	   0.0421816923637     	    -103.4723
150 	 315 	 -13.68493     	   0.042806231908     	    -103.349
150 	 330 	 -13.62154     	   0.0434356174984     	    -103.2272
150 	 345 	 -13.56285     	   0.0440265850055     	    -103.115
150 	 360 	 -13.51276     	   0.0445373117818     	    -103.0196
165 	 0 	 -19.03743     	   0.0124812188981     	    -102.7299
165 	 15 	 -18.95689     	   0.0127148429422     	    -102.5984
165 	 30 	 -18.90662     	   0.0128628735418     	    -102.517
165 	 45 	 -18.88954     	   0.012913560454     	    -102.4894
165 	 60 	 -18.90663     	   0.012862843924     	    -102.517
165 	 75 	 -18.9569     	   0.0127148136652     	    -102.5985
165 	 90 	 -19.03744     	   0.0124811901591     	    -102.73
165 	 105 	 -19.14347     	   0.0121801601885     	    -102.9048
165 	 120 	 -19.2685     	   0.0118345023437     	    -103.1136
165 	 135 	 -19.40459     	   0.0114694079439     	    -103.3441
165 	 150 	 -19.54271     	   0.0111103822246     	    -103.5816
165 	 165 	 -19.6733     	   0.0107812719264     	    -103.8095
165 	 180 	 -19.78691     	   0.0105028944254     	    -104.0105
165 	 195 	 -19.87504     	   0.0102919104795     	    -104.1682
165 	 210 	 -19.93088     	   0.0101604279381     	    -104.2689
165 	 225 	 -19.94999     	   0.0101158178351     	    -104.3035
165 	 240 	 -19.93087     	   0.0101604513334     	    -104.2689
165 	 255 	 -19.87503     	   0.0102919341775     	    -104.1681
165 	 270 	 -19.7869     	   0.0105029186093     	    -104.0104
165 	 285 	 -19.67327     	   0.010781346401     	    -103.8094
165 	 300 	 -19.54269     	   0.0111104333899     	    -103.5814
165 	 315 	 -19.40457     	   0.0114694607626     	    -103.3439
165 	 330 	 -19.26848     	   0.0118345568438     	    -103.1134
165 	 345 	 -19.14345     	   0.0121802162804     	    -102.9047
165 	 360 	 -19.03743     	   0.0124812188981     	    -102.7299
180 	 0 	 -46.14812     	   2.42766076801e-05     	    -89.37027
180 	 15 	 -44.38729     	   3.64142190178e-05     	    -89.37062
180 	 30 	 -43.43909     	   4.52992487851e-05     	    -89.37087
180 	 45 	 -43.13803     	   4.85508681456e-05     	    -89.37108
180 	 60 	 -43.43921     	   4.52979971379e-05     	    -89.37128
180 	 75 	 -44.38755     	   3.64120390653e-05     	    -89.37152
180 	 90 	 -46.14857     	   2.42740923574e-05     	    -89.37182
180 	 105 	 -49.15905     	   1.21365430295e-05     	    -89.37236
180 	 120 	 -54.87905     	   3.25158416574e-06     	    -89.37377
180 	 135 	 -132.7896     	   5.26065716603e-14     	    112.5673
180 	 150 	 -54.87706     	   3.25307442994e-06     	    90.63147
180 	 165 	 -49.15811     	   1.21391701836e-05     	    90.63005
180 	 180 	 -46.148     	   2.42772784768e-05     	    90.62952
180 	 195 	 -44.38719     	   3.64150574959e-05     	    90.62921
180 	 210 	 -43.439     	   4.53001875432e-05     	    90.62898
180 	 225 	 -43.13794     	   4.85518742885e-05     	    90.62878
180 	 240 	 -43.43912     	   4.52989358701e-05     	    90.62856
180 	 255 	 -44.38745     	   3.64128774931e-05     	    90.62832
180 	 270 	 -46.14844     	   2.42748189794e-05     	    90.62797
180 	 285 	 -49.15888     	   1.2137018111e-05     	    90.62736
180 	 300 	 -54.87871     	   3.25183873538e-06     	    90.62568
180 	 315 	 -135.1272     	   3.07100129798e-14     	    -53.30914
180 	 330 	 -54.87741     	   3.25281227368e-06     	    -89.36798
180 	 345 	 -49.15828     	   1.21386950178e-05     	    -89.36966
180 	 360 	 -46.14812     	   2.42766076801e-05     	    -89.37027
freq : 180.00 MHz
SWR : 1.965000
0 	 0 	 -45.00565     	   3.15816633651e-05     	    37.33843
0 	 15 	 -43.24482     	   4.73715941651e-05     	    37.3382
0 	 30 	 -42.29663     	   5.89300758386e-05     	    37.33804
0 	 45 	 -41.99556     	   6.31602732171e-05     	    37.33789
0 	 60 	 -42.29674     	   5.89285832508e-05     	    37.33774
0 	 75 	 -43.24508     	   4.73687582447e-05     	    37.33758
0 	 90 	 -45.00608     	   3.15785365828e-05     	    37.33736
0 	 105 	 -48.01654     	   1.57886864464e-05     	    37.33696
0 	 120 	 -53.73645     	   4.23014252322e-06     	    37.33589
0 	 135 	 -133.4957     	   4.47126077772e-14     	    -122.0663
0 	 150 	 -53.73483     	   4.23172074017e-06     	    -142.6601
0 	 165 	 -48.01579     	   1.57914132914e-05     	    -142.6612
0 	 180 	 -45.00565     	   3.15816633651e-05     	    -142.6616
0 	 195 	 -43.24482     	   4.73715941651e-05     	    -142.6618
0 	 210 	 -42.29663     	   5.89300758386e-05     	    -142.662
0 	 225 	 -41.99556     	   6.31602732171e-05     	    -142.6621
0 	 240 	 -42.29675     	   5.89284475629e-05     	    -142.6623
0 	 255 	 -43.24508     	   4.73687582447e-05     	    -142.6624
0 	 270 	 -45.00608     	   3.15785365828e-05     	    -142.6626
0 	 285 	 -48.01654     	   1.57886864464e-05     	    -142.663
0 	 300 	 -53.73644     	   4.23015226349e-06     	    -142.6641
0 	 315 	 -133.5344     	   4.43159434999e-14     	    58.02988
0 	 330 	 -53.73484     	   4.23171099629e-06     	    37.33989
0 	 345 	 -48.01579     	   1.57914132914e-05     	    37.33882
0 	 360 	 -45.00565     	   3.15816633651e-05     	    37.33843
15 	 0 	 -18.73663     	   0.0133763307865     	    -126.4329
15 	 15 	 -18.82503     	   0.0131068098847     	    -126.2567
15 	 30 	 -18.88102     	   0.0129389191754     	    -126.1442
15 	 45 	 -18.90019     	   0.0128819319315     	    -126.1055
15 	 60 	 -18.88101     	   0.0129389489684     	    -126.1442
15 	 75 	 -18.82501     	   0.0131068702439     	    -126.2567
15 	 90 	 -18.73661     	   0.0133763923869     	    -126.4329
15 	 105 	 -18.62262     	   0.0137321329667     	    -126.6575
15 	 120 	 -18.4916     	   0.0141527227832     	    -126.9121
15 	 135 	 -18.35299     	   0.0146117085149     	    -127.1774
15 	 150 	 -18.2164     	   0.0150785645669     	    -127.4349
15 	 165 	 -18.09089     	   0.0155206891177     	    -127.668
15 	 180 	 -17.98445     	   0.0159057810535     	    -127.8632
15 	 195 	 -17.90359     	   0.0162047001759     	    -128.01
15 	 210 	 -17.85311     	   0.0163941536091     	    -128.101
15 	 225 	 -17.83596     	   0.0164590210247     	    -128.1318
15 	 240 	 -17.85312     	   0.0163941158602     	    -128.101
15 	 255 	 -17.9036     	   0.0162046628633     	    -128.01
15 	 270 	 -17.98447     	   0.0159057078048     	    -127.8632
15 	 285 	 -18.09092     	   0.0155205819049     	    -127.668
15 	 300 	 -18.21643     	   0.0150784604083     	    -127.4349
15 	 315 	 -18.35302     	   0.0146116075811     	    -127.1775
15 	 330 	 -18.49163     	   0.01415262502     	    -126.9122
15 	 345 	 -18.62265     	   0.0137320381089     	    -126.6575
15 	 360 	 -18.73663     	   0.0133763307865     	    -126.4329
30 	 0 	 -12.8094     	   0.0523672779657     	    -126.7918
30 	 15 	 -12.84944     	   0.0518866939791     	    -126.7047
30 	 30 	 -12.8747     	   0.0515857798036     	    -126.6496
30 	 45 	 -12.88333     	   0.0514833738854     	    -126.6308
30 	 60 	 -12.8747     	   0.0515857798036     	    -126.6496
30 	 75 	 -12.84944     	   0.0518866939791     	    -126.7047
30 	 90 	 -12.80939     	   0.0523673985459     	    -126.7918
30 	 105 	 -12.75746     	   0.0529973311665     	    -126.9044
30 	 120 	 -12.69735     	   0.0537359585139     	    -127.0341
30 	 135 	 -12.63328     	   0.0545345834218     	    -127.1716
30 	 150 	 -12.56964     	   0.0553395980003     	    -127.3076
30 	 165 	 -12.51073     	   0.0560953678126     	    -127.4328
30 	 180 	 -12.46043     	   0.0567488414941     	    -127.5393
30 	 195 	 -12.42203     	   0.0572528354495     	    -127.6203
30 	 210 	 -12.39797     	   0.0575708975092     	    -127.6709
30 	 225 	 -12.38978     	   0.0576795681317     	    -127.6881
30 	 240 	 -12.39797     	   0.0575708975092     	    -127.6709
30 	 255 	 -12.42204     	   0.0572527036201     	    -127.6203
30 	 270 	 -12.46044     	   0.0567487108252     	    -127.5393
30 	 285 	 -12.51074     	   0.0560952386484     	    -127.4328
30 	 300 	 -12.56965     	   0.0553394705763     	    -127.3076
30 	 315 	 -12.63329     	   0.0545344578514     	    -127.1716
30 	 330 	 -12.69737     	   0.0537357110513     	    -127.0341
30 	 345 	 -12.75748     	   0.0529970871053     	    -126.9044
30 	 360 	 -12.8094     	   0.0523672779657     	    -126.7918
45 	 0 	 -9.723945     	   0.106562769741     	    -126.8923
45 	 15 	 -9.746865     	   0.106001863457     	    -126.8311
45 	 30 	 -9.761303     	   0.105650048316     	    -126.7925
45 	 45 	 -9.766232     	   0.105530209425     	    -126.7793
45 	 60 	 -9.761301     	   0.10565009697     	    -126.7925
45 	 75 	 -9.74686     	   0.106001985496     	    -126.8311
45 	 90 	 -9.723937     	   0.106562966038     	    -126.8923
45 	 105 	 -9.694151     	   0.107296338038     	    -126.9719
45 	 120 	 -9.659588     	   0.108153654802     	    -127.064
45 	 135 	 -9.622642     	   0.10907765683     	    -127.1624
45 	 150 	 -9.585845     	   0.110005778794     	    -127.2603
45 	 165 	 -9.551688     	   0.1108743789     	    -127.351
45 	 180 	 -9.52246     	   0.111623079544     	    -127.4286
45 	 195 	 -9.500097     	   0.112199339422     	    -127.4879
45 	 210 	 -9.486068     	   0.11256236259     	    -127.525
45 	 225 	 -9.481289     	   0.112686294999     	    -127.5377
45 	 240 	 -9.486071     	   0.112562284834     	    -127.525
45 	 255 	 -9.500103     	   0.112199184412     	    -127.4879
45 	 270 	 -9.522468     	   0.111622873927     	    -127.4286
45 	 285 	 -9.551698     	   0.110874123602     	    -127.351
45 	 300 	 -9.585855     	   0.110005525497     	    -127.2603
45 	 315 	 -9.622652     	   0.10907740567     	    -127.1624
45 	 330 	 -9.659597     	   0.108153430673     	    -127.064
45 	 345 	 -9.69416     	   0.107296115685     	    -126.9719
45 	 360 	 -9.723945     	   0.106562769741     	    -126.8923
60 	 0 	 -7.919769     	   0.161444442638     	    -126.9277
60 	 15 	 -7.932943     	   0.160955454962     	    -126.8774
60 	 30 	 -7.941235     	   0.160648435329     	    -126.8458
60 	 45 	 -7.944065     	   0.160543785835     	    -126.835
60 	 60 	 -7.941233     	   0.16064850931     	    -126.8458
60 	 75 	 -7.932938     	   0.160955640269     	    -126.8774
60 	 90 	 -7.919763     	   0.161444665682     	    -126.9277
60 	 105 	 -7.902624     	   0.162083049837     	    -126.9931
60 	 120 	 -7.882708     	   0.162828041799     	    -127.0691
60 	 135 	 -7.861389     	   0.163629310363     	    -127.1505
60 	 150 	 -7.840122     	   0.164432553093     	    -127.2317
60 	 165 	 -7.82035     	   0.16518286712     	    -127.3072
60 	 180 	 -7.803409     	   0.165828472375     	    -127.3719
60 	 195 	 -7.790434     	   0.16632464302     	    -127.4215
60 	 210 	 -7.782288     	   0.166636908559     	    -127.4526
60 	 225 	 -7.779513     	   0.166743418129     	    -127.4632
60 	 240 	 -7.78229     	   0.166636831819     	    -127.4526
60 	 255 	 -7.790438     	   0.16632448983     	    -127.4215
60 	 270 	 -7.803415     	   0.165828243275     	    -127.3719
60 	 285 	 -7.820358     	   0.165182562842     	    -127.3072
60 	 300 	 -7.84013     	   0.164432250198     	    -127.2317
60 	 315 	 -7.861397     	   0.163629008947     	    -127.1504
60 	 330 	 -7.882717     	   0.162827704367     	    -127.0691
60 	 345 	 -7.902631     	   0.162082788591     	    -126.9931
60 	 360 	 -7.919769     	   0.161444442638     	    -126.9277
75 	 0 	 -6.939962     	   0.202303687982     	    -126.9351
75 	 15 	 -6.946065     	   0.202019596806     	    -126.8898
75 	 30 	 -6.949906     	   0.201841005028     	    -126.8612
75 	 45 	 -6.951216     	   0.201780131162     	    -126.8515
75 	 60 	 -6.949904     	   0.201841097979     	    -126.8612
75 	 75 	 -6.946062     	   0.202019736356     	    -126.8898
75 	 90 	 -6.939956     	   0.202303967475     	    -126.9351
75 	 105 	 -6.932012     	   0.202674355199     	    -126.9942
75 	 120 	 -6.922772     	   0.203106021894     	    -127.0629
75 	 135 	 -6.912873     	   0.20356949534     	    -127.1366
75 	 150 	 -6.902988     	   0.204033368672     	    -127.2103
75 	 165 	 -6.893788     	   0.204466046656     	    -127.2788
75 	 180 	 -6.8859     	   0.204837751525     	    -127.3377
75 	 195 	 -6.879855     	   0.205123066311     	    -127.3828
75 	 210 	 -6.876059     	   0.205302434824     	    -127.4112
75 	 225 	 -6.874766     	   0.205363567438     	    -127.4208
75 	 240 	 -6.876061     	   0.205302340278     	    -127.4112
75 	 255 	 -6.879859     	   0.205122877386     	    -127.3828
75 	 270 	 -6.885906     	   0.204837468532     	    -127.3377
75 	 285 	 -6.893795     	   0.204465717096     	    -127.2788
75 	 300 	 -6.902995     	   0.20403303981     	    -127.2102
75 	 315 	 -6.91288     	   0.203569167225     	    -127.1366
75 	 330 	 -6.922779     	   0.203105694526     	    -127.0629
