"frequency";"r S21_dB";"i S21_dB"
2.26843e+07;42.9257;0
2.30193e+07;42.9344;0
2.33591e+07;42.9432;0
2.3704e+07;42.9522;0
2.40539e+07;42.9613;0
2.44091e+07;42.9706;0
2.47694e+07;42.98;0
2.51351e+07;42.9896;0
2.55062e+07;42.9993;0
2.58828e+07;43.0092;0
2.62649e+07;43.0192;0
2.66526e+07;43.0294;0
2.70461e+07;43.0398;0
2.74454e+07;43.0503;0
2.78506e+07;43.061;0
2.82618e+07;43.0718;0
2.86791e+07;43.0829;0
2.91025e+07;43.0941;0
2.95321e+07;43.1055;0
2.99681e+07;43.117;0
3.04106e+07;43.1263;0
3.08595e+07;43.1355;0
3.13151e+07;43.1448;0
3.17775e+07;43.1543;0
3.22466e+07;43.164;0
3.27227e+07;43.1737;0
3.32058e+07;43.1837;0
3.3696e+07;43.1938;0
3.41935e+07;43.204;0
3.46983e+07;43.2144;0
3.52106e+07;43.225;0
3.57305e+07;43.2357;0
3.6258e+07;43.2466;0
3.67933e+07;43.2577;0
3.73365e+07;43.2689;0
3.78877e+07;43.2803;0
3.84471e+07;43.2919;0
3.90147e+07;43.3037;0
3.95907e+07;43.3156;0
4.01752e+07;43.3272;0
4.07683e+07;43.3377;0
4.13702e+07;43.3483;0
4.1981e+07;43.3591;0
4.26008e+07;43.3701;0
4.32297e+07;43.3812;0
4.3868e+07;43.3924;0
4.45156e+07;43.4039;0
4.51728e+07;43.4155;0
4.58397e+07;43.4272;0
4.65165e+07;43.4391;0
4.72033e+07;43.4512;0
4.79001e+07;43.4634;0
4.86073e+07;43.4758;0
4.9325e+07;43.4884;0
5.00532e+07;43.5002;0
5.07921e+07;43.4997;0
5.1542e+07;43.4991;0
5.2303e+07;43.4986;0
5.30752e+07;43.498;0
5.38587e+07;43.4974;0
5.46539e+07;43.4968;0
5.54608e+07;43.4962;0
5.62796e+07;43.4955;0
5.71105e+07;43.4949;0
5.79536e+07;43.4942;0
5.88092e+07;43.4935;0
5.96775e+07;43.4928;0
6.05585e+07;43.503;0
6.14526e+07;43.5198;0
6.23599e+07;43.5367;0
6.32805e+07;43.5538;0
6.42148e+07;43.5711;0
