"frequency";"r S21_dB";"i S21_dB"
2.30193e+07;42.9444;0
2.33591e+07;42.9533;0
2.3704e+07;42.9624;0
2.40539e+07;42.9716;0
2.44091e+07;42.981;0
2.47694e+07;42.9905;0
2.51351e+07;43.0002;0
2.55062e+07;43.01;0
2.58828e+07;43.0199;0
2.62649e+07;43.03;0
2.66526e+07;43.0403;0
2.70461e+07;43.0507;0
2.74454e+07;43.0613;0
2.78506e+07;43.0721;0
2.82618e+07;43.083;0
2.86791e+07;43.0941;0
2.91025e+07;43.1054;0
2.95321e+07;43.1169;0
2.99681e+07;43.1285;0
3.04106e+07;43.1379;0
3.08595e+07;43.1472;0
3.13151e+07;43.1566;0
3.17775e+07;43.1662;0
3.22466e+07;43.176;0
3.27227e+07;43.1859;0
3.32058e+07;43.1959;0
3.3696e+07;43.2061;0
3.41935e+07;43.2165;0
3.46983e+07;43.227;0
3.52106e+07;43.2377;0
3.57305e+07;43.2485;0
3.6258e+07;43.2595;0
3.67933e+07;43.2707;0
3.73365e+07;43.282;0
3.78877e+07;43.2935;0
3.84471e+07;43.3052;0
3.90147e+07;43.317;0
3.95907e+07;43.3291;0
4.01752e+07;43.3408;0
4.07683e+07;43.3514;0
4.13702e+07;43.3622;0
4.1981e+07;43.3732;0
4.26008e+07;43.3843;0
4.32297e+07;43.3956;0
4.3868e+07;43.407;0
4.45156e+07;43.4186;0
4.51728e+07;43.4304;0
4.58397e+07;43.4423;0
4.65165e+07;43.4544;0
4.72033e+07;43.4666;0
4.79001e+07;43.479;0
4.86073e+07;43.4916;0
4.9325e+07;43.5044;0
5.00532e+07;43.5163;0
5.07921e+07;43.516;0
5.1542e+07;43.5157;0
5.2303e+07;43.5154;0
5.30752e+07;43.5151;0
5.38587e+07;43.5147;0
5.46539e+07;43.5144;0
5.54608e+07;43.514;0
5.62796e+07;43.5137;0
5.71105e+07;43.5133;0
5.79536e+07;43.5129;0
5.88092e+07;43.5125;0
5.96775e+07;43.512;0
6.05585e+07;43.5226;0
6.14526e+07;43.5397;0
6.23599e+07;43.5571;0
6.32805e+07;43.5746;0
6.42148e+07;43.5923;0
6.51628e+07;43.6101;0
6.61249e+07;43.6282;0
6.71011e+07;43.6464;0
6.80918e+07;43.6649;0
6.90971e+07;43.6835;0
7.01172e+07;43.7007;0
7.11524e+07;43.7059;0
7.22029e+07;43.7111;0
7.32688e+07;43.7163;0
7.43506e+07;43.7215;0
7.54482e+07;43.7268;0
7.65621e+07;43.732;0
7.76925e+07;43.7373;0
7.88395e+07;43.7426;0
8.00035e+07;43.7478;0
8.11846e+07;43.7437;0
8.23832e+07;43.7395;0
8.35995e+07;43.7352;0
8.48337e+07;43.7307;0
8.60862e+07;43.726;0
8.73571e+07;43.7211;0
8.86468e+07;43.7161;0
8.99556e+07;43.7109;0
9.12837e+07;43.7126;0
9.26313e+07;43.7144;0
9.39989e+07;43.7162;0
9.53867e+07;43.7177;0
9.67949e+07;43.7192;0
9.8224e+07;43.7204;0
9.96741e+07;43.7215;0
1.01146e+08;43.7202;0
1.02639e+08;43.718;0
1.04154e+08;43.7155;0
1.05692e+08;43.7127;0
1.07252e+08;43.7096;0
1.08836e+08;43.7062;0
1.10443e+08;43.7002;0
1.12073e+08;43.6877;0
1.13728e+08;43.6747;0
1.15407e+08;43.6611;0
1.17111e+08;43.6469;0
1.1884e+08;43.632;0
1.20594e+08;43.6196;0
1.22375e+08;43.6127;0
1.24181e+08;43.6052;0
1.26015e+08;43.5969;0
1.27875e+08;43.5878;0
1.29763e+08;43.5778;0
1.31679e+08;43.5617;0
1.33623e+08;43.5437;0
1.35596e+08;43.5245;0
1.37598e+08;43.504;0
1.39629e+08;43.4821;0
1.4169e+08;43.4483;0
