"frequency";"r S21_phase";"i S21_phase"
2.07748e+07;-184.297;0
2.10815e+07;-184.325;0
2.13928e+07;-184.353;0
2.17086e+07;-184.381;0
2.20291e+07;-184.41;0
2.23543e+07;-184.439;0
2.26843e+07;-184.468;0
2.30193e+07;-184.498;0
2.33591e+07;-184.528;0
2.3704e+07;-184.559;0
2.40539e+07;-184.59;0
2.44091e+07;-184.622;0
2.47694e+07;-184.654;0
2.51351e+07;-184.686;0
2.55062e+07;-184.719;0
2.58828e+07;-184.753;0
2.62649e+07;-184.787;0
2.66526e+07;-184.821;0
2.70461e+07;-184.856;0
2.74454e+07;-184.892;0
2.78506e+07;-184.928;0
2.82618e+07;-184.965;0
2.86791e+07;-185.002;0
2.91025e+07;-185.04;0
2.95321e+07;-185.079;0
2.99681e+07;-185.118;0
3.04106e+07;-185.165;0
3.08595e+07;-185.213;0
3.13151e+07;-185.262;0
3.17775e+07;-185.312;0
3.22466e+07;-185.363;0
3.27227e+07;-185.415;0
3.32058e+07;-185.467;0
3.3696e+07;-185.52;0
3.41935e+07;-185.574;0
3.46983e+07;-185.629;0
3.52106e+07;-185.685;0
3.57305e+07;-185.742;0
3.6258e+07;-185.799;0
3.67933e+07;-185.858;0
3.73365e+07;-185.918;0
3.78877e+07;-185.979;0
3.84471e+07;-186.04;0
3.90147e+07;-186.103;0
3.95907e+07;-186.167;0
4.01752e+07;-186.257;0
4.07683e+07;-186.408;0
4.13702e+07;-186.561;0
4.1981e+07;-186.716;0
4.26008e+07;-186.874;0
4.32297e+07;-187.034;0
4.3868e+07;-187.197;0
4.45156e+07;-187.362;0
4.51728e+07;-187.531;0
4.58397e+07;-187.701;0
4.65165e+07;-187.875;0
4.72033e+07;-188.051;0
4.79001e+07;-188.23;0
4.86073e+07;-188.412;0
4.9325e+07;-188.597;0
5.00532e+07;-188.778;0
5.07921e+07;-188.869;0
5.1542e+07;-188.962;0
5.2303e+07;-189.057;0
5.30752e+07;-189.153;0
5.38587e+07;-189.251;0
5.46539e+07;-189.35;0
5.54608e+07;-189.452;0
5.62796e+07;-189.555;0
5.71105e+07;-189.66;0
5.79536e+07;-189.767;0
5.88092e+07;-189.876;0
5.96775e+07;-189.987;0
6.05585e+07;-190.101;0
6.14526e+07;-190.217;0
6.23599e+07;-190.335;0
6.32805e+07;-190.455;0
6.42148e+07;-190.577;0
6.51628e+07;-190.701;0
6.61249e+07;-190.828;0
6.71011e+07;-190.957;0
6.80918e+07;-191.089;0
6.90971e+07;-191.223;0
7.01172e+07;-191.363;0
7.11524e+07;-191.535;0
7.22029e+07;-191.71;0
7.32688e+07;-191.888;0
7.43506e+07;-192.069;0
7.54482e+07;-192.254;0
7.65621e+07;-192.442;0
7.76925e+07;-192.634;0
7.88395e+07;-192.829;0
8.00035e+07;-193.028;0
8.11846e+07;-193.185;0
8.23832e+07;-193.345;0
8.35995e+07;-193.509;0
8.48337e+07;-193.676;0
8.60862e+07;-193.846;0
8.73571e+07;-194.02;0
8.86468e+07;-194.198;0
8.99556e+07;-194.379;0
9.12837e+07;-194.583;0
9.26313e+07;-194.792;0
9.39989e+07;-195.006;0
9.53867e+07;-195.224;0
9.67949e+07;-195.447;0
9.8224e+07;-195.674;0
9.96741e+07;-195.908;0
1.01146e+08;-196.179;0
1.02639e+08;-196.467;0
1.04154e+08;-196.76;0
1.05692e+08;-197.061;0
1.07252e+08;-197.368;0
1.08836e+08;-197.682;0
1.10443e+08;-197.993;0
1.12073e+08;-198.283;0
1.13728e+08;-198.58;0
1.15407e+08;-198.885;0
1.17111e+08;-199.197;0
1.1884e+08;-199.518;0
1.20594e+08;-199.837;0
1.22375e+08;-200.146;0
1.24181e+08;-200.464;0
1.26015e+08;-200.791;0
1.27875e+08;-201.127;0
1.29763e+08;-201.473;0
1.31679e+08;-201.875;0
1.33623e+08;-202.295;0
1.35596e+08;-202.727;0
1.37598e+08;-203.171;0
1.39629e+08;-203.628;0
1.4169e+08;-204.054;0
1.43782e+08;-204.484;0
1.45905e+08;-204.928;0
1.48059e+08;-205.387;0
1.50245e+08;-205.862;0
1.52463e+08;-206.35;0
1.54714e+08;-206.856;0
1.56998e+08;-207.381;0
1.59316e+08;-207.926;0
1.61668e+08;-208.56;0
1.64055e+08;-209.246;0
1.66477e+08;-209.957;0
1.68935e+08;-210.694;0
1.71429e+08;-211.43;0
1.7396e+08;-212.172;0
1.76528e+08;-212.946;0
1.79134e+08;-213.752;0
1.81779e+08;-214.589;0
1.84463e+08;-215.46;0
1.87186e+08;-216.37;0
1.8995e+08;-217.322;0
1.92754e+08;-218.351;0
1.956e+08;-219.427;0
1.98488e+08;-220.551;0
2.01418e+08;-221.696;0
2.04392e+08;-222.863;0
2.07409e+08;-224.077;0
2.10471e+08;-225.334;0
