"frequency";"r S21_phase";"i S21_phase"
2.23543e+07;-184.403;0
2.26843e+07;-184.432;0
2.30193e+07;-184.461;0
2.33591e+07;-184.491;0
2.3704e+07;-184.521;0
2.40539e+07;-184.552;0
2.44091e+07;-184.583;0
2.47694e+07;-184.614;0
2.51351e+07;-184.646;0
2.55062e+07;-184.679;0
2.58828e+07;-184.712;0
2.62649e+07;-184.745;0
2.66526e+07;-184.779;0
2.70461e+07;-184.814;0
2.74454e+07;-184.849;0
2.78506e+07;-184.884;0
2.82618e+07;-184.92;0
2.86791e+07;-184.957;0
2.91025e+07;-184.994;0
2.95321e+07;-185.032;0
2.99681e+07;-185.071;0
3.04106e+07;-185.117;0
3.08595e+07;-185.165;0
3.13151e+07;-185.213;0
3.17775e+07;-185.263;0
3.22466e+07;-185.313;0
3.27227e+07;-185.364;0
3.32058e+07;-185.415;0
3.3696e+07;-185.468;0
3.41935e+07;-185.521;0
3.46983e+07;-185.575;0
3.52106e+07;-185.63;0
3.57305e+07;-185.686;0
3.6258e+07;-185.743;0
3.67933e+07;-185.801;0
3.73365e+07;-185.86;0
3.78877e+07;-185.92;0
3.84471e+07;-185.98;0
3.90147e+07;-186.042;0
3.95907e+07;-186.105;0
4.01752e+07;-186.195;0
4.07683e+07;-186.344;0
4.13702e+07;-186.496;0
4.1981e+07;-186.651;0
4.26008e+07;-186.808;0
4.32297e+07;-186.967;0
4.3868e+07;-187.129;0
4.45156e+07;-187.293;0
4.51728e+07;-187.46;0
4.58397e+07;-187.63;0
4.65165e+07;-187.802;0
4.72033e+07;-187.978;0
4.79001e+07;-188.156;0
4.86073e+07;-188.336;0
4.9325e+07;-188.52;0
5.00532e+07;-188.7;0
5.07921e+07;-188.79;0
5.1542e+07;-188.882;0
5.2303e+07;-188.975;0
5.30752e+07;-189.07;0
5.38587e+07;-189.166;0
5.46539e+07;-189.265;0
5.54608e+07;-189.365;0
5.62796e+07;-189.466;0
5.71105e+07;-189.57;0
5.79536e+07;-189.676;0
5.88092e+07;-189.783;0
5.96775e+07;-189.893;0
6.05585e+07;-190.005;0
6.14526e+07;-190.119;0
6.23599e+07;-190.236;0
6.32805e+07;-190.354;0
6.42148e+07;-190.475;0
6.51628e+07;-190.597;0
6.61249e+07;-190.723;0
6.71011e+07;-190.85;0
6.80918e+07;-190.98;0
6.90971e+07;-191.112;0
7.01172e+07;-191.25;0
7.11524e+07;-191.42;0
7.22029e+07;-191.593;0
7.32688e+07;-191.77;0
7.43506e+07;-191.949;0
7.54482e+07;-192.132;0
7.65621e+07;-192.318;0
7.76925e+07;-192.507;0
7.88395e+07;-192.7;0
8.00035e+07;-192.897;0
8.11846e+07;-193.052;0
8.23832e+07;-193.21;0
8.35995e+07;-193.371;0
8.48337e+07;-193.536;0
8.60862e+07;-193.704;0
8.73571e+07;-193.876;0
8.86468e+07;-194.051;0
8.99556e+07;-194.23;0
9.12837e+07;-194.431;0
9.26313e+07;-194.638;0
9.39989e+07;-194.848;0
9.53867e+07;-195.064;0
9.67949e+07;-195.284;0
9.8224e+07;-195.509;0
9.96741e+07;-195.739;0
1.01146e+08;-196.007;0
1.02639e+08;-196.292;0
1.04154e+08;-196.582;0
1.05692e+08;-196.879;0
1.07252e+08;-197.183;0
1.08836e+08;-197.494;0
1.10443e+08;-197.801;0
1.12073e+08;-198.087;0
1.13728e+08;-198.381;0
1.15407e+08;-198.682;0
1.17111e+08;-198.99;0
1.1884e+08;-199.307;0
1.20594e+08;-199.622;0
1.22375e+08;-199.927;0
1.24181e+08;-200.241;0
1.26015e+08;-200.564;0
1.27875e+08;-200.895;0
1.29763e+08;-201.237;0
1.31679e+08;-201.634;0
1.33623e+08;-202.049;0
1.35596e+08;-202.476;0
1.37598e+08;-202.915;0
1.39629e+08;-203.368;0
1.4169e+08;-203.789;0
1.43782e+08;-204.213;0
1.45905e+08;-204.652;0
1.48059e+08;-205.106;0
1.50245e+08;-205.575;0
1.52463e+08;-206.057;0
1.54714e+08;-206.558;0
1.56998e+08;-207.077;0
1.59316e+08;-207.616;0
1.61668e+08;-208.244;0
1.64055e+08;-208.923;0
1.66477e+08;-209.628;0
1.68935e+08;-210.359;0
1.71429e+08;-211.088;0
1.7396e+08;-211.825;0
1.76528e+08;-212.592;0
1.79134e+08;-213.392;0
1.81779e+08;-214.223;0
1.84463e+08;-215.088;0
1.87186e+08;-215.993;0
1.8995e+08;-216.939;0
1.92754e+08;-217.963;0
1.956e+08;-219.035;0
1.98488e+08;-220.155;0
2.01418e+08;-221.298;0
2.04392e+08;-222.463;0
2.07409e+08;-223.677;0
2.10471e+08;-224.934;0
2.13579e+08;-226.204;0
2.16732e+08;-227.508;0
2.19932e+08;-228.835;0
2.23179e+08;-230.242;0
2.26474e+08;-231.614;0
2.29817e+08;-232.892;0
2.3321e+08;-233.937;0
2.36653e+08;-234.642;0
2.40147e+08;-234.762;0
2.43692e+08;-233.894;0
2.4729e+08;-231.345;0
2.50941e+08;-226.031;0
2.54646e+08;-216.535;0
2.58406e+08;-202.233;0
2.62221e+08;-186.112;0
2.66092e+08;-173.356;0
2.7002e+08;-165.904;0
2.74007e+08;-162.662;0
2.78052e+08;-162.194;0
2.82157e+08;-163.472;0
2.86323e+08;-165.842;0
2.9055e+08;-168.879;0
2.9484e+08;-172.313;0
2.99193e+08;-176.021;0
3.0361e+08;-179.932;0
3.08092e+08;-183.989;0
3.12641e+08;-188.192;0
3.17257e+08;-192.543;0
3.2194e+08;-197.024;0
3.26693e+08;-201.646;0
3.31517e+08;-206.425;0
3.36411e+08;-211.321;0
3.41378e+08;-216.262;0
3.46418e+08;-221.04;0
3.51532e+08;-225.177;0
3.56722e+08;-227.798;0
3.61988e+08;-227.251;0
3.67333e+08;-220.341;0
3.72756e+08;-203.244;0
3.78259e+08;-180.598;0
3.83844e+08;-165.219;0
3.89511e+08;-158.528;0
3.95261e+08;-156.585;0
4.01097e+08;-156.916;0
4.07018e+08;-158.35;0
4.13028e+08;-160.216;0
4.19125e+08;-162.225;0
4.25313e+08;-164.273;0
4.31592e+08;-166.317;0
4.37964e+08;-168.382;0
4.4443e+08;-170.289;0
4.50992e+08;-172.06;0
4.5765e+08;-173.676;0
4.64406e+08;-175.316;0
4.71263e+08;-176.927;0
4.7822e+08;-178.424;0
4.85281e+08;-179.848;0
4.92445e+08;-181.271;0
4.99716e+08;-182.761;0
5.07093e+08;-184.109;0
5.1458e+08;-185.303;0
5.22177e+08;-186.384;0
5.29886e+08;-187.42;0
5.37709e+08;-188.534;0
5.45648e+08;-189.582;0
5.53703e+08;-190.658;0
5.61878e+08;-191.808;0
5.70174e+08;-192.974;0
5.78591e+08;-193.994;0
5.87134e+08;-194.993;0
5.95802e+08;-195.953;0
6.04598e+08;-196.86;0
6.13524e+08;-197.753;0
6.22582e+08;-198.696;0
6.31774e+08;-199.676;0
6.41101e+08;-200.582;0
6.50566e+08;-201.48;0
6.60171e+08;-202.359;0
6.69917e+08;-203.174;0
6.79808e+08;-204.086;0
6.89844e+08;-205.094;0
7.00029e+08;-206.02;0
7.10364e+08;-206.983;0
7.20851e+08;-207.889;0
7.31494e+08;-208.595;0
7.42293e+08;-209.415;0
7.53252e+08;-210.266;0
7.64373e+08;-211.144;0
7.75658e+08;-212.104;0
7.87109e+08;-212.943;0
7.9873e+08;-213.85;0
8.10522e+08;-214.795;0
8.22489e+08;-215.695;0
8.34631e+08;-216.652;0
8.46954e+08;-217.479;0
8.59458e+08;-218.263;0
8.72147e+08;-219.145;0
8.85023e+08;-219.991;0
8.98089e+08;-221.046;0
9.11348e+08;-222.04;0
9.24803e+08;-223.04;0
9.38456e+08;-223.887;0
9.52311e+08;-224.783;0
9.66371e+08;-225.734;0
9.80638e+08;-226.593;0
9.95116e+08;-227.491;0
1.00981e+09;-228.408;0
1.02472e+09;-229.468;0
1.03984e+09;-230.467;0
1.0552e+09;-231.406;0
1.07078e+09;-232.365;0
1.08658e+09;-233.417;0
1.10263e+09;-234.376;0
1.1189e+09;-235.218;0
1.13542e+09;-236.167;0
1.15219e+09;-237.39;0
1.1692e+09;-238.545;0
1.18646e+09;-239.358;0
1.20398e+09;-240.366;0
1.22175e+09;-241.429;0
1.23979e+09;-242.538;0
1.25809e+09;-243.545;0
1.27667e+09;-244.704;0
1.29551e+09;-245.818;0
1.31464e+09;-246.884;0
1.33405e+09;-247.945;0
1.35375e+09;-249.132;0
1.37373e+09;-250.215;0
1.39401e+09;-251.3;0
1.41459e+09;-252.515;0
1.43548e+09;-253.675;0
1.45667e+09;-254.785;0
1.47818e+09;-256.018;0
1.5e+09;-257.212;0
