"frequency";"r S21_dB";"i S21_dB"
2.26843e+07;42.9588;0
2.30193e+07;42.9678;0
2.33591e+07;42.977;0
2.3704e+07;42.9863;0
2.40539e+07;42.9957;0
2.44091e+07;43.0053;0
2.47694e+07;43.015;0
2.51351e+07;43.0249;0
2.55062e+07;43.0349;0
2.58828e+07;43.0451;0
2.62649e+07;43.0554;0
2.66526e+07;43.0658;0
2.70461e+07;43.0765;0
2.74454e+07;43.0873;0
2.78506e+07;43.0982;0
2.82618e+07;43.1093;0
2.86791e+07;43.1206;0
2.91025e+07;43.132;0
2.95321e+07;43.1436;0
2.99681e+07;43.1554;0
3.04106e+07;43.165;0
3.08595e+07;43.1746;0
3.13151e+07;43.1844;0
3.17775e+07;43.1942;0
3.22466e+07;43.2043;0
3.27227e+07;43.2144;0
3.32058e+07;43.2247;0
3.3696e+07;43.2352;0
3.41935e+07;43.2458;0
3.46983e+07;43.2566;0
3.52106e+07;43.2675;0
3.57305e+07;43.2786;0
3.6258e+07;43.2899;0
3.67933e+07;43.3013;0
3.73365e+07;43.3129;0
3.78877e+07;43.3246;0
3.84471e+07;43.3366;0
3.90147e+07;43.3487;0
3.95907e+07;43.3609;0
4.01752e+07;43.3729;0
4.07683e+07;43.384;0
4.13702e+07;43.3952;0
4.1981e+07;43.4065;0
4.26008e+07;43.418;0
4.32297e+07;43.4297;0
4.3868e+07;43.4416;0
4.45156e+07;43.4536;0
4.51728e+07;43.4658;0
4.58397e+07;43.4781;0
4.65165e+07;43.4906;0
4.72033e+07;43.5033;0
4.79001e+07;43.5162;0
4.86073e+07;43.5292;0
4.9325e+07;43.5424;0
5.00532e+07;43.5549;0
5.07921e+07;43.5552;0
5.1542e+07;43.5555;0
5.2303e+07;43.5559;0
5.30752e+07;43.5562;0
5.38587e+07;43.5566;0
5.46539e+07;43.5569;0
5.54608e+07;43.5573;0
5.62796e+07;43.5576;0
5.71105e+07;43.558;0
5.79536e+07;43.5583;0
5.88092e+07;43.5587;0
5.96775e+07;43.5591;0
6.05585e+07;43.5706;0
6.14526e+07;43.5887;0
6.23599e+07;43.6071;0
6.32805e+07;43.6256;0
6.42148e+07;43.6444;0
6.51628e+07;43.6634;0
6.61249e+07;43.6826;0
6.71011e+07;43.7021;0
6.80918e+07;43.7217;0
6.90971e+07;43.7416;0
7.01172e+07;43.7601;0
7.11524e+07;43.7667;0
7.22029e+07;43.7733;0
7.32688e+07;43.78;0
7.43506e+07;43.7868;0
7.54482e+07;43.7937;0
7.65621e+07;43.8005;0
7.76925e+07;43.8075;0
7.88395e+07;43.8145;0
8.00035e+07;43.8216;0
8.11846e+07;43.8194;0
8.23832e+07;43.8172;0
8.35995e+07;43.8148;0
8.48337e+07;43.8124;0
8.60862e+07;43.8099;0
8.73571e+07;43.8073;0
8.86468e+07;43.8047;0
8.99556e+07;43.8019;0
9.12837e+07;43.8062;0
9.26313e+07;43.8106;0
9.39989e+07;43.8151;0
9.53867e+07;43.8196;0
9.67949e+07;43.824;0
9.8224e+07;43.8284;0
9.96741e+07;43.8327;0
1.01146e+08;43.8349;0
1.02639e+08;43.8363;0
1.04154e+08;43.8376;0
1.05692e+08;43.8388;0
1.07252e+08;43.8398;0
1.08836e+08;43.8407;0
1.10443e+08;43.8392;0
1.12073e+08;43.8317;0
1.13728e+08;43.8238;0
1.15407e+08;43.8155;0
1.17111e+08;43.8069;0
1.1884e+08;43.7979;0
1.20594e+08;43.7917;0
1.22375e+08;43.7916;0
1.24181e+08;43.791;0
1.26015e+08;43.7901;0
