"frequency";"r S21_phase";"i S21_phase"
2.23543e+07;-184.829;0
2.26843e+07;-184.863;0
2.30193e+07;-184.898;0
2.33591e+07;-184.934;0
2.3704e+07;-184.97;0
2.40539e+07;-185.006;0
2.44091e+07;-185.043;0
2.47694e+07;-185.081;0
2.51351e+07;-185.119;0
2.55062e+07;-185.158;0
2.58828e+07;-185.197;0
2.62649e+07;-185.237;0
2.66526e+07;-185.277;0
2.70461e+07;-185.318;0
2.74454e+07;-185.36;0
2.78506e+07;-185.402;0
2.82618e+07;-185.445;0
2.86791e+07;-185.489;0
2.91025e+07;-185.533;0
2.95321e+07;-185.578;0
2.99681e+07;-185.624;0
3.04106e+07;-185.678;0
3.08595e+07;-185.734;0
3.13151e+07;-185.79;0
3.17775e+07;-185.847;0
3.22466e+07;-185.905;0
3.27227e+07;-185.964;0
3.32058e+07;-186.024;0
3.3696e+07;-186.085;0
3.41935e+07;-186.147;0
3.46983e+07;-186.21;0
3.52106e+07;-186.274;0
3.57305e+07;-186.339;0
3.6258e+07;-186.405;0
3.67933e+07;-186.472;0
3.73365e+07;-186.54;0
3.78877e+07;-186.609;0
3.84471e+07;-186.68;0
3.90147e+07;-186.752;0
3.95907e+07;-186.825;0
4.01752e+07;-186.924;0
4.07683e+07;-187.085;0
4.13702e+07;-187.247;0
4.1981e+07;-187.413;0
4.26008e+07;-187.58;0
4.32297e+07;-187.751;0
4.3868e+07;-187.924;0
4.45156e+07;-188.1;0
4.51728e+07;-188.279;0
4.58397e+07;-188.461;0
4.65165e+07;-188.645;0
4.72033e+07;-188.833;0
4.79001e+07;-189.023;0
4.86073e+07;-189.217;0
4.9325e+07;-189.414;0
5.00532e+07;-189.607;0
5.07921e+07;-189.71;0
5.1542e+07;-189.815;0
5.2303e+07;-189.922;0
5.30752e+07;-190.031;0
5.38587e+07;-190.142;0
5.46539e+07;-190.255;0
5.54608e+07;-190.37;0
5.62796e+07;-190.486;0
5.71105e+07;-190.605;0
5.79536e+07;-190.726;0
5.88092e+07;-190.85;0
5.96775e+07;-190.975;0
6.05585e+07;-191.103;0
6.14526e+07;-191.234;0
6.23599e+07;-191.367;0
6.32805e+07;-191.502;0
6.42148e+07;-191.639;0
6.51628e+07;-191.78;0
6.61249e+07;-191.922;0
6.71011e+07;-192.067;0
6.80918e+07;-192.215;0
6.90971e+07;-192.366;0
7.01172e+07;-192.523;0
7.11524e+07;-192.712;0
7.22029e+07;-192.904;0
7.32688e+07;-193.099;0
7.43506e+07;-193.298;0
7.54482e+07;-193.501;0
7.65621e+07;-193.707;0
7.76925e+07;-193.917;0
7.88395e+07;-194.131;0
8.00035e+07;-194.348;0
8.11846e+07;-194.525;0
8.23832e+07;-194.704;0
8.35995e+07;-194.888;0
8.48337e+07;-195.075;0
8.60862e+07;-195.265;0
8.73571e+07;-195.46;0
8.86468e+07;-195.659;0
8.99556e+07;-195.861;0
9.12837e+07;-196.087;0
9.26313e+07;-196.317;0
9.39989e+07;-196.553;0
9.53867e+07;-196.794;0
9.67949e+07;-197.039;0
9.8224e+07;-197.29;0
