"frequency";"r S21_dB";"i S21_dB"
2.30193e+07;42.9491;0
2.33591e+07;42.9581;0
2.3704e+07;42.9673;0
2.40539e+07;42.9765;0
2.44091e+07;42.9859;0
2.47694e+07;42.9955;0
2.51351e+07;43.0052;0
2.55062e+07;43.0151;0
2.58828e+07;43.0251;0
2.62649e+07;43.0352;0
2.66526e+07;43.0456;0
2.70461e+07;43.056;0
2.74454e+07;43.0667;0
2.78506e+07;43.0775;0
2.82618e+07;43.0885;0
2.86791e+07;43.0996;0
2.91025e+07;43.1109;0
2.95321e+07;43.1224;0
2.99681e+07;43.1341;0
3.04106e+07;43.1436;0
3.08595e+07;43.1529;0
3.13151e+07;43.1625;0
3.17775e+07;43.1721;0
3.22466e+07;43.182;0
3.27227e+07;43.1919;0
3.32058e+07;43.202;0
3.3696e+07;43.2123;0
3.41935e+07;43.2227;0
3.46983e+07;43.2333;0
3.52106e+07;43.2441;0
3.57305e+07;43.255;0
3.6258e+07;43.2661;0
3.67933e+07;43.2773;0
3.73365e+07;43.2887;0
3.78877e+07;43.3003;0
3.84471e+07;43.312;0
3.90147e+07;43.324;0
3.95907e+07;43.3361;0
4.01752e+07;43.3479;0
4.07683e+07;43.3586;0
4.13702e+07;43.3695;0
4.1981e+07;43.3806;0
4.26008e+07;43.3918;0
4.32297e+07;43.4032;0
4.3868e+07;43.4148;0
4.45156e+07;43.4265;0
4.51728e+07;43.4384;0
4.58397e+07;43.4504;0
4.65165e+07;43.4626;0
4.72033e+07;43.475;0
4.79001e+07;43.4875;0
4.86073e+07;43.5003;0
4.9325e+07;43.5132;0
5.00532e+07;43.5253;0
5.07921e+07;43.5251;0
5.1542e+07;43.525;0
5.2303e+07;43.5249;0
5.30752e+07;43.5248;0
5.38587e+07;43.5246;0
5.46539e+07;43.5245;0
5.54608e+07;43.5243;0
5.62796e+07;43.5242;0
5.71105e+07;43.524;0
5.79536e+07;43.5238;0
5.88092e+07;43.5237;0
5.96775e+07;43.5235;0
6.05585e+07;43.5343;0
6.14526e+07;43.5517;0
6.23599e+07;43.5693;0
6.32805e+07;43.5871;0
6.42148e+07;43.6052;0
6.51628e+07;43.6234;0
6.61249e+07;43.6418;0
6.71011e+07;43.6604;0
6.80918e+07;43.6792;0
6.90971e+07;43.6981;0
7.01172e+07;43.7158;0
7.11524e+07;43.7214;0
7.22029e+07;43.727;0
7.32688e+07;43.7327;0
7.43506e+07;43.7384;0
7.54482e+07;43.7441;0
7.65621e+07;43.7499;0
7.76925e+07;43.7557;0
7.88395e+07;43.7615;0
8.00035e+07;43.7673;0
8.11846e+07;43.7638;0
8.23832e+07;43.7602;0
8.35995e+07;43.7565;0
8.48337e+07;43.7527;0
8.60862e+07;43.7487;0
8.73571e+07;43.7446;0
8.86468e+07;43.7404;0
8.99556e+07;43.736;0
9.12837e+07;43.7385;0
9.26313e+07;43.7413;0
9.39989e+07;43.7439;0
9.53867e+07;43.7465;0
9.67949e+07;43.7489;0
9.8224e+07;43.7513;0
9.96741e+07;43.7535;0
1.01146e+08;43.7534;0
1.02639e+08;43.7524;0
1.04154e+08;43.7513;0
1.05692e+08;43.75;0
1.07252e+08;43.7484;0
1.08836e+08;43.7465;0
1.10443e+08;43.7422;0
1.12073e+08;43.7315;0
1.13728e+08;43.7204;0
1.15407e+08;43.7088;0
1.17111e+08;43.6968;0
1.1884e+08;43.6842;0
1.20594e+08;43.6742;0
1.22375e+08;43.67;0
1.24181e+08;43.6652;0
1.26015e+08;43.6599;0
1.27875e+08;43.654;0
1.29763e+08;43.6474;0
1.31679e+08;43.6349;0
1.33623e+08;43.6208;0
1.35596e+08;43.6057;0
1.37598e+08;43.5897;0
1.39629e+08;43.5726;0
1.4169e+08;43.5439;0
1.43782e+08;43.5115;0
1.45905e+08;43.4775;0
1.48059e+08;43.4418;0
1.50245e+08;43.406;0
1.52463e+08;43.382;0
1.54714e+08;43.3561;0
1.56998e+08;43.3281;0
1.59316e+08;43.2977;0
1.61668e+08;43.2687;0
1.64055e+08;43.2384;0
1.66477e+08;43.205;0
1.68935e+08;43.1681;0
1.71429e+08;43.1244;0
1.7396e+08;43.0739;0
1.76528e+08;43.0185;0
1.79134e+08;42.9574;0
1.81779e+08;42.8902;0
1.84463e+08;42.8159;0
1.87186e+08;42.7333;0
1.8995e+08;42.6415;0
1.92754e+08;42.5246;0
1.956e+08;42.395;0
1.98488e+08;42.251;0
2.01418e+08;42.0881;0
