"frequency";"r S21_phase";"i S21_phase"
2.23543e+07;-184.369;0
2.26843e+07;-184.397;0
2.30193e+07;-184.426;0
2.33591e+07;-184.455;0
2.3704e+07;-184.485;0
2.40539e+07;-184.515;0
2.44091e+07;-184.546;0
2.47694e+07;-184.577;0
2.51351e+07;-184.608;0
2.55062e+07;-184.64;0
2.58828e+07;-184.673;0
2.62649e+07;-184.706;0
2.66526e+07;-184.739;0
2.70461e+07;-184.773;0
2.74454e+07;-184.808;0
2.78506e+07;-184.843;0
2.82618e+07;-184.878;0
2.86791e+07;-184.914;0
2.91025e+07;-184.951;0
2.95321e+07;-184.988;0
2.99681e+07;-185.026;0
3.04106e+07;-185.072;0
3.08595e+07;-185.119;0
3.13151e+07;-185.167;0
3.17775e+07;-185.216;0
3.22466e+07;-185.265;0
3.27227e+07;-185.315;0
3.32058e+07;-185.366;0
3.3696e+07;-185.418;0
3.41935e+07;-185.471;0
3.46983e+07;-185.524;0
3.52106e+07;-185.578;0
3.57305e+07;-185.634;0
3.6258e+07;-185.69;0
3.67933e+07;-185.747;0
3.73365e+07;-185.805;0
3.78877e+07;-185.864;0
3.84471e+07;-185.924;0
3.90147e+07;-185.985;0
3.95907e+07;-186.047;0
4.01752e+07;-186.136;0
4.07683e+07;-186.284;0
4.13702e+07;-186.436;0
4.1981e+07;-186.589;0
4.26008e+07;-186.745;0
4.32297e+07;-186.904;0
4.3868e+07;-187.064;0
4.45156e+07;-187.228;0
4.51728e+07;-187.394;0
4.58397e+07;-187.563;0
4.65165e+07;-187.734;0
4.72033e+07;-187.908;0
4.79001e+07;-188.085;0
4.86073e+07;-188.265;0
4.9325e+07;-188.448;0
5.00532e+07;-188.626;0
5.07921e+07;-188.715;0
5.1542e+07;-188.805;0
5.2303e+07;-188.898;0
5.30752e+07;-188.991;0
5.38587e+07;-189.087;0
5.46539e+07;-189.184;0
5.54608e+07;-189.282;0
5.62796e+07;-189.383;0
5.71105e+07;-189.485;0
5.79536e+07;-189.59;0
5.88092e+07;-189.696;0
5.96775e+07;-189.804;0
6.05585e+07;-189.914;0
6.14526e+07;-190.027;0
6.23599e+07;-190.142;0
6.32805e+07;-190.259;0
6.42148e+07;-190.378;0
6.51628e+07;-190.5;0
6.61249e+07;-190.623;0
6.71011e+07;-190.749;0
6.80918e+07;-190.877;0
6.90971e+07;-191.008;0
7.01172e+07;-191.144;0
7.11524e+07;-191.313;0
7.22029e+07;-191.484;0
7.32688e+07;-191.658;0
7.43506e+07;-191.836;0
7.54482e+07;-192.017;0
7.65621e+07;-192.201;0
7.76925e+07;-192.389;0
7.88395e+07;-192.58;0
8.00035e+07;-192.774;0
8.11846e+07;-192.927;0
8.23832e+07;-193.083;0
8.35995e+07;-193.243;0
8.48337e+07;-193.405;0
8.60862e+07;-193.571;0
8.73571e+07;-193.74;0
8.86468e+07;-193.913;0
8.99556e+07;-194.09;0
9.12837e+07;-194.289;0
9.26313e+07;-194.493;0
9.39989e+07;-194.701;0
9.53867e+07;-194.913;0
9.67949e+07;-195.131;0
9.8224e+07;-195.353;0
9.96741e+07;-195.58;0
1.01146e+08;-195.846;0
1.02639e+08;-196.128;0
1.04154e+08;-196.415;0
1.05692e+08;-196.709;0
1.07252e+08;-197.01;0
1.08836e+08;-197.317;0
1.10443e+08;-197.621;0
1.12073e+08;-197.904;0
1.13728e+08;-198.194;0
1.15407e+08;-198.492;0
1.17111e+08;-198.797;0
1.1884e+08;-199.11;0
1.20594e+08;-199.421;0
1.22375e+08;-199.723;0
1.24181e+08;-200.033;0
1.26015e+08;-200.351;0
1.27875e+08;-200.679;0
1.29763e+08;-201.016;0
1.31679e+08;-201.409;0
1.33623e+08;-201.82;0
1.35596e+08;-202.243;0
1.37598e+08;-202.677;0
1.39629e+08;-203.125;0
1.4169e+08;-203.541;0
1.43782e+08;-203.961;0
1.45905e+08;-204.395;0
1.48059e+08;-204.844;0
1.50245e+08;-205.308;0
1.52463e+08;-205.785;0
1.54714e+08;-206.28;0
1.56998e+08;-206.794;0
1.59316e+08;-207.328;0
1.61668e+08;-207.95;0
1.64055e+08;-208.624;0
1.66477e+08;-209.323;0
1.68935e+08;-210.049;0
1.71429e+08;-210.772;0
1.7396e+08;-211.503;0
1.76528e+08;-212.265;0
1.79134e+08;-213.06;0
1.81779e+08;-213.885;0
1.84463e+08;-214.745;0
1.87186e+08;-215.645;0
1.8995e+08;-216.586;0
1.92754e+08;-217.607;0
1.956e+08;-218.675;0
1.98488e+08;-219.792;0
2.01418e+08;-220.933;0
2.04392e+08;-222.097;0
2.07409e+08;-223.311;0
2.10471e+08;-224.569;0
2.13579e+08;-225.841;0
2.16732e+08;-227.15;0
2.19932e+08;-228.483;0
2.23179e+08;-229.898;0
2.26474e+08;-231.281;0
2.29817e+08;-232.571;0
2.3321e+08;-233.63;0
2.36653e+08;-234.35;0
2.40147e+08;-234.486;0
2.43692e+08;-233.631;0
2.4729e+08;-231.092;0
2.50941e+08;-225.78;0
2.54646e+08;-216.277;0
2.58406e+08;-201.951;0
2.62221e+08;-185.786;0
2.66092e+08;-172.961;0
2.7002e+08;-165.409;0
2.74007e+08;-162.034;0
2.78052e+08;-161.398;0
2.82157e+08;-162.472;0
2.86323e+08;-164.6;0
2.9055e+08;-167.359;0
2.9484e+08;-170.476;0
2.99193e+08;-173.829;0
3.0361e+08;-177.344;0
3.08092e+08;-180.961;0
3.12641e+08;-184.676;0
3.17257e+08;-188.487;0
3.2194e+08;-192.379;0
3.26693e+08;-196.372;0
3.31517e+08;-200.505;0
3.36411e+08;-204.792;0
3.41378e+08;-209.266;0
3.46418e+08;-213.915;0
3.51532e+08;-218.601;0
3.56722e+08;-223.084;0
3.61988e+08;-226.927;0
3.67333e+08;-229.201;0
3.72756e+08;-228.122;0
3.78259e+08;-220.083;0
3.83844e+08;-201.077;0
3.89511e+08;-178.16;0
3.95261e+08;-164.187;0
4.01097e+08;-158.64;0
4.07018e+08;-157.441;0
4.13028e+08;-158.184;0
4.19125e+08;-159.778;0
4.25313e+08;-161.752;0
4.31592e+08;-163.881;0
4.37964e+08;-166.103;0
4.4443e+08;-168.192;0
4.50992e+08;-170.147;0
4.5765e+08;-171.939;0
4.64406e+08;-173.741;0
4.71263e+08;-175.5;0
4.7822e+08;-177.132;0
4.85281e+08;-178.679;0
4.92445e+08;-180.213;0
4.99716e+08;-181.801;0
5.07093e+08;-183.238;0
5.1458e+08;-184.509;0
5.22177e+08;-185.658;0
5.29886e+08;-186.755;0
5.37709e+08;-187.923;0
5.45648e+08;-189.021;0
5.53703e+08;-190.143;0
5.61878e+08;-191.334;0
5.70174e+08;-192.538;0
5.78591e+08;-193.592;0
5.87134e+08;-194.621;0
5.95802e+08;-195.609;0
6.04598e+08;-196.541;0
6.13524e+08;-197.456;0
6.22582e+08;-198.421;0
6.31774e+08;-199.421;0
6.41101e+08;-200.343;0
6.50566e+08;-201.258;0
6.60171e+08;-202.152;0
6.69917e+08;-202.981;0
6.79808e+08;-203.905;0
6.89844e+08;-204.925;0
7.00029e+08;-205.862;0
7.10364e+08;-206.835;0
