"frequency";"r S21_dB";"i S21_dB"
2.26843e+07;42.938;0
2.30193e+07;42.9469;0
2.33591e+07;42.9559;0
2.3704e+07;42.965;0
2.40539e+07;42.9742;0
2.44091e+07;42.9836;0
2.47694e+07;42.9931;0
2.51351e+07;43.0028;0
2.55062e+07;43.0127;0
2.58828e+07;43.0226;0
2.62649e+07;43.0328;0
2.66526e+07;43.0431;0
2.70461e+07;43.0535;0
2.74454e+07;43.0642;0
2.78506e+07;43.075;0
2.82618e+07;43.0859;0
2.86791e+07;43.0971;0
2.91025e+07;43.1084;0
2.95321e+07;43.1198;0
2.99681e+07;43.1315;0
3.04106e+07;43.1409;0
3.08595e+07;43.1503;0
3.13151e+07;43.1598;0
3.17775e+07;43.1694;0
3.22466e+07;43.1792;0
3.27227e+07;43.1891;0
3.32058e+07;43.1992;0
3.3696e+07;43.2095;0
3.41935e+07;43.2199;0
3.46983e+07;43.2304;0
3.52106e+07;43.2411;0
3.57305e+07;43.252;0
3.6258e+07;43.263;0
3.67933e+07;43.2743;0
3.73365e+07;43.2856;0
3.78877e+07;43.2972;0
3.84471e+07;43.3089;0
3.90147e+07;43.3208;0
3.95907e+07;43.3329;0
4.01752e+07;43.3446;0
4.07683e+07;43.3554;0
4.13702e+07;43.3662;0
4.1981e+07;43.3773;0
4.26008e+07;43.3885;0
4.32297e+07;43.3998;0
4.3868e+07;43.4113;0
4.45156e+07;43.423;0
4.51728e+07;43.4348;0
4.58397e+07;43.4468;0
4.65165e+07;43.4589;0
4.72033e+07;43.4713;0
4.79001e+07;43.4838;0
4.86073e+07;43.4964;0
4.9325e+07;43.5093;0
5.00532e+07;43.5213;0
5.07921e+07;43.5211;0
5.1542e+07;43.5209;0
5.2303e+07;43.5207;0
5.30752e+07;43.5205;0
5.38587e+07;43.5203;0
5.46539e+07;43.5201;0
5.54608e+07;43.5199;0
5.62796e+07;43.5196;0
5.71105e+07;43.5194;0
5.79536e+07;43.5191;0
5.88092e+07;43.5189;0
5.96775e+07;43.5186;0
6.05585e+07;43.5293;0
6.14526e+07;43.5466;0
6.23599e+07;43.5641;0
6.32805e+07;43.5818;0
6.42148e+07;43.5997;0
6.51628e+07;43.6178;0
6.61249e+07;43.6361;0
6.71011e+07;43.6545;0
6.80918e+07;43.6732;0
6.90971e+07;43.6921;0
7.01172e+07;43.7095;0
7.11524e+07;43.715;0
7.22029e+07;43.7205;0
7.32688e+07;43.726;0
7.43506e+07;43.7315;0
7.54482e+07;43.7371;0
7.65621e+07;43.7426;0
7.76925e+07;43.7483;0
7.88395e+07;43.7539;0
8.00035e+07;43.7595;0
8.11846e+07;43.7558;0
8.23832e+07;43.752;0
8.35995e+07;43.7481;0
8.48337e+07;43.744;0
8.60862e+07;43.7398;0
8.73571e+07;43.7355;0
8.86468e+07;43.731;0
8.99556e+07;43.7263;0
9.12837e+07;43.7286;0
9.26313e+07;43.731;0
9.39989e+07;43.7333;0
9.53867e+07;43.7356;0
9.67949e+07;43.7377;0
9.8224e+07;43.7397;0
9.96741e+07;43.7416;0
1.01146e+08;43.7411;0
1.02639e+08;43.7398;0
1.04154e+08;43.7383;0
1.05692e+08;43.7365;0
1.07252e+08;43.7344;0
1.08836e+08;43.7321;0
1.10443e+08;43.7273;0
1.12073e+08;43.7161;0
1.13728e+08;43.7045;0
1.15407e+08;43.6924;0
1.17111e+08;43.6797;0
1.1884e+08;43.6665;0
1.20594e+08;43.6558;0
1.22375e+08;43.6509;0
1.24181e+08;43.6454;0
1.26015e+08;43.6394;0
1.27875e+08;43.6326;0
1.29763e+08;43.6252;0
1.31679e+08;43.6118;0
1.33623e+08;43.5968;0
1.35596e+08;43.5808;0
1.37598e+08;43.5638;0
1.39629e+08;43.5456;0
1.4169e+08;43.5158;0
1.43782e+08;43.4822;0
1.45905e+08;43.447;0
1.48059e+08;43.41;0
1.50245e+08;43.3728;0
1.52463e+08;43.3474;0
1.54714e+08;43.3199;0
1.56998e+08;43.2903;0
1.59316e+08;43.2582;0
1.61668e+08;43.2273;0
1.64055e+08;43.1952;0
1.66477e+08;43.1598;0
1.68935e+08;43.1207;0
1.71429e+08;43.0747;0
1.7396e+08;43.0219;0
1.76528e+08;42.9639;0
1.79134e+08;42.9001;0
1.81779e+08;42.83;0
1.84463e+08;42.7527;0
1.87186e+08;42.667;0
1.8995e+08;42.5718;0
1.92754e+08;42.4515;0
1.956e+08;42.3182;0
1.98488e+08;42.1704;0
2.01418e+08;42.0037;0
2.04392e+08;41.8151;0
2.07409e+08;41.6038;0
2.10471e+08;41.3675;0
2.13579e+08;41.1092;0
2.16732e+08;40.8139;0
2.19932e+08;40.4743;0
2.23179e+08;40.0909;0
2.26474e+08;39.6438;0
2.29817e+08;39.1192;0
2.3321e+08;38.4962;0
2.36653e+08;37.7577;0
2.40147e+08;36.8801;0
2.43692e+08;35.8501;0
2.4729e+08;34.6447;0
2.50941e+08;33.3001;0
2.54646e+08;32.0014;0
2.58406e+08;31.24;0
2.62221e+08;31.5441;0
2.66092e+08;32.8087;0
2.7002e+08;34.4424;0
2.74007e+08;36.0442;0
2.78052e+08;37.4503;0
2.82157e+08;38.6385;0
2.86323e+08;39.622;0
2.9055e+08;40.4206;0
2.9484e+08;41.0607;0
2.99193e+08;41.5562;0
3.0361e+08;41.921;0
3.08092e+08;42.1631;0
3.12641e+08;42.2726;0
3.17257e+08;42.2468;0
3.2194e+08;42.0752;0
3.26693e+08;41.7316;0
3.31517e+08;41.1899;0
3.36411e+08;40.405;0
3.41378e+08;39.308;0
3.46418e+08;37.8323;0
3.51532e+08;35.9131;0
3.56722e+08;33.6297;0
3.61988e+08;31.6277;0
3.67333e+08;31.3654;0
3.72756e+08;32.8783;0
3.78259e+08;34.7531;0
3.83844e+08;36.3488;0
3.89511e+08;37.6033;0
3.95261e+08;38.6058;0
4.01097e+08;39.4021;0
4.07018e+08;40.0468;0
4.13028e+08;40.5698;0
4.19125e+08;40.9988;0
4.25313e+08;41.3622;0
4.31592e+08;41.665;0
4.37964e+08;41.9081;0
4.4443e+08;42.0953;0
4.50992e+08;42.2486;0
4.5765e+08;42.4065;0
4.64406e+08;42.5615;0
4.71263e+08;42.7076;0
4.7822e+08;42.8339;0
4.85281e+08;42.9639;0
4.92445e+08;43.0733;0
4.99716e+08;43.1429;0
5.07093e+08;43.168;0
5.1458e+08;43.1995;0
5.22177e+08;43.2406;0
5.29886e+08;43.2912;0
5.37709e+08;43.3249;0
5.45648e+08;43.3784;0
5.53703e+08;43.4418;0
5.61878e+08;43.4927;0
5.70174e+08;43.4955;0
5.78591e+08;43.5128;0
5.87134e+08;43.5517;0
5.95802e+08;43.5721;0
6.04598e+08;43.5841;0
6.13524e+08;43.5992;0
6.22582e+08;43.6046;0
6.31774e+08;43.5839;0
6.41101e+08;43.5703;0
6.50566e+08;43.5818;0
6.60171e+08;43.5848;0
6.69917e+08;43.5937;0
6.79808e+08;43.6069;0
