"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0816.7+5739","SBS 0812+578","124.183","57.6603","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0817.8-0935","TXS 0815-094","124.472","-9.5878","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0818.0+3237",,"124.524","32.6301",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0818.2+4223","S4 0814+42","124.562","42.399","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0818.8+2751","5C 07.119","124.714","27.8546","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0820.4+3640","MG2 J082018+3640","125.124","36.682","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0820.9-1258","PKS 0818-128","125.232","-12.9759","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0822.6-4250e","Puppis A","125.66","-42.84","SNR","N",,"Supernova remnant","Link","Link","Link"
"3FGL J0822.9+4041","B3 0819+408","125.738","40.6947","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0823.3-4205c",,"125.848","-42.0929",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0823.6-4838",,"125.913","-48.6366",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0824.1+2434","B2 0821+24","126.036","24.5764","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0824.9+5551","OJ 535","126.231","55.8582","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0824.9+3916","4C +39.23","126.249","39.2768","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0825.4-0213","PMN J0825-0204","126.356","-2.231","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0825.8-3217","PKS 0823-321","126.454","-32.2856","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0825.9-2230","PKS 0823-223","126.498","-22.505","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0826.0+0307","PKS 0823+033","126.519","3.1247","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0826.3-5056",,"126.589","-50.9478",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0826.3-6400",,"126.593","-64.0109",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0827.2-0711","PMN J0827-0708","126.809","-7.1901","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0828.5+5217","TXS 0824+524","127.14","52.2954","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0828.8-2420","NVSS J082841-241850","127.208","-24.3401","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0829.3+0901","TXS 0826+091","127.337","9.0167","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0829.6-1137","NVSS J082939-114103","127.404","-11.6213","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0829.8-5239",,"127.468","-52.6586",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0830.3-5855","PMN J0829-5856","127.575","-58.9179","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0830.5-4452",,"127.635","-44.8689",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0830.7+2408","OJ 248","127.681","24.1378","FSRQ","N",,"FSRQ","Link","Link","Link"
"3FGL J0830.8+2629",,"127.704","26.4911",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0831.9+0430","PKS 0829+046","127.991","4.5032","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0832.6+4914","OJ 448","128.167","49.2494","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0832.8-4321",,"128.215","-43.3568",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0833.1-4511e","Vela X","128.287","-45.1901","PWN","E","Vela X","Pulsar wind nebula","Link","Link","Link"
"3FGL J0834.1+4223","OJ 451","128.528","42.3967","fsrq","N",,"FSRQ","Link","Link","Link"
