"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0626.8+1743",,"96.7115","17.7317",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0627.0-3529","PKS 0625-35","96.7727","-35.4893","rdg","N",,"Radio galaxy","Link","Link","Link"
"3FGL J0627.9-1517","NVSS J062753-152003","96.9853","-15.2978","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0628.4+2429",,"97.123","24.498",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0629.0-6248","PKS 0628-627","97.2716","-62.8059","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0629.4-1959","PKS 0627-199","97.3581","-19.9857","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0630.2-0929c",,"97.571","-9.4961",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0630.3+6906","GB6 J0629+6900","97.5893","69.1122","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0630.9-2406","TXS 0628-240","97.7469","-24.1101","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0631.2+2019","TXS 0628+203","97.803","20.3282","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0631.5+1036","PSR J0631+1036","97.8862","10.6134","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0631.6+0644",,"97.9071","6.7408","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0633.7+0632","LAT PSR J0633+0632","98.438","6.5413","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0633.9+1746","PSR J0633+1746","98.4788","17.7732","PSR","E","Geminga","Pulsar","Link","Link","Link"
"3FGL J0634.1+0424",,"98.5283","4.4062",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0634.7-2334","PMN J0634-2335","98.6771","-23.5747","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0635.7-7517","PKS 0637-75","98.9417","-75.2926","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0636.7+7115",,"99.1914","71.2632",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0637.5+0418",,"99.3835","4.315",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0638.4+5704",,"99.605","57.0743",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0638.6+7324","S5 0633+73","99.6529","73.4078","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0639.9+3250",,"99.9877","32.8394",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0640.0-1252","TXS 0637-128","100.021","-12.8759","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0640.9+0752",,"100.247","7.8818","spp","N",,"SNR/PWN","Link","Link","Link"
"3FGL J0641.1+1004",,"100.286","10.0833",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0641.8-0319","TXS 0639-032","100.471","-3.3189","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0643.2+0859","PMN J0643+0857","100.803","8.9954","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0643.4-5358","PMN J0643-5358","100.851","-53.9723","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0644.3-6713","PKS 0644-671","101.088","-67.2227","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0644.6+6035",,"101.152","60.5911",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0644.6-2853","1RXS J064444.2-285120","101.159","-28.8965","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0645.9-3914","PKS 0644-390","101.489","-39.237","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0646.4-5452","PMN J0646-5451","101.601","-54.878","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0647.0-5134","1ES 0646-515","101.766","-51.57","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0647.1-4415","SUMSS J064648-441929","101.776","-44.2584","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0647.6-6058","PMN J0647-6058","101.908","-60.9668","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0647.6+0032",,"101.913","0.5345",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0647.8+1751",,"101.962","17.8514",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0648.1+1606","1RXS J064814.1+160708","102.041","16.1082","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0648.1-3045","PKS 0646-306","102.044","-30.7624","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0648.8+1516","RX J0648.7+1516","102.205","15.2764","bll","P","RX J0648.7+1516","BL LAC","Link","Link","Link"
"3FGL J0648.8-1740","TXS 0646-176","102.209","-17.6684","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0649.6-3138","1RXS J064933.8-313914","102.4","-31.635","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0650.4-1636","PKS 0648-16","102.606","-16.6085","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0650.5+2055","1RXS J065033.9+205603","102.644","20.9299","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0650.7+2503","1ES 0647+250","102.697","25.0632","bll","P","1ES 0647+250","BL LAC","Link","Link","Link"
"3FGL J0650.9+6524",,"102.748","65.4148",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0651.3+4014","RX J0651.0+4013","102.829","40.2459","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0652.0-4808","1RXS J065201.0-480858","103.015","-48.1344","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0653.6+2817","GB6 J0653+2816","103.414","28.2904","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0654.4+4514","B3 0650+453","103.604","45.2469","FSRQ","N",,"FSRQ","Link","Link","Link"
"3FGL J0654.4+5042","GB6 J0654+5042","103.609","50.702","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0654.5+0926","RX J0654.3+0925","103.638","9.4472","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0656.2-0323","TXS 0653-033","104.054","-3.3897","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0656.4+4232","4C +42.22","104.101","42.542","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0657.6-4701",,"104.424","-47.0263",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0658.3-5832","PMN J0658-5840","104.586","-58.547","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0658.6+0636","NVSS J065844+063711","104.651","6.6041","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0658.8+2318",,"104.72","23.3146",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0659.2-0439c",,"104.802","-4.6526",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0659.5+1414","PSR J0659+1414","104.899","14.2469","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0700.0+1709","TXS 0657+172","105.023","17.1563","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0700.2+1304","GB6 J0700+1304","105.073","13.0778","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0700.3-6310","SUMSS J065958-631238","105.083","-63.1811","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0700.6-6610","PKS 0700-661","105.158","-66.173","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0700.6+3557",,"105.162","35.9665",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0701.4-4634","PKS 0700-465","105.35","-46.5735","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0702.7-1952","TXS 0700-197","105.68","-19.8708","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0703.4-3914","1RXS J070312.7-391417","105.861","-39.2377","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0704.1-1043",,"106.035","-10.7218",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0704.3-4828",,"106.075","-48.4751",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0705.7-0006",,"106.438","-0.1127",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0706.1-4849","PMN J0705-4847","106.537","-48.8263","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0706.5+3744","GB6 J0706+3744","106.629","37.7485","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0707.0+7741","NVSS J070651+774137","106.755","77.6982","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0707.2+6101","TXS 0702+612","106.812","61.0295","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0707.5-3111",,"106.887","-31.197",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0707.7-1035c",,"106.927","-10.5922",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0708.7+1747",,"107.196","17.7941",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0708.9+2239","GB6 J0708+2241","107.237","22.6664","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0709.7-0256","PMN J0709-0255","107.446","-2.9391","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0710.3+5908","1H 0658+595","107.585","59.1483","bll","P","RGB J0710+591","BL LAC","Link","Link","Link"
"3FGL J0710.5+4732","S4 0707+47","107.625","47.5334","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0711.1-1037",,"107.794","-10.6212",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0712.2-3806",,"108.052","-38.1104",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0712.2-6436","MRC 0712-643","108.07","-64.6161","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0712.6+5033","GB6 J0712+5033","108.172","50.5563","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0713.9+1933","MG2 J071354+1934","108.496","19.5591","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0714.7-3924",,"108.677","-39.4086",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0716.0-4525",,"109.011","-45.4221",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0718.7-4319","PMN J0718-4319","109.69","-43.33","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0718.9-5004",,"109.738","-50.0794",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0719.3+3307","B2 0716+33","109.829","33.1253","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0720.0-4010","1RXS J071939.2-401153","110.017","-40.1812","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0721.4+0404","PMN J0721+0406","110.364","4.0737","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0721.5-0221",,"110.375","-2.3616",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0721.9+7120","S5 0716+71","110.49","71.3452","BLL","P","S5 0716+71","BL LAC","Link","Link","Link"
"3FGL J0722.2-2648",,"110.551","-26.8037",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0723.2-0728","1RXS J072259.5-073131","110.805","-7.4703","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0723.7+2050","GB6 J0723+2051","110.929","20.8462","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0724.1+2857","GB6 J0723+2859","111.032","28.959","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0725.2+1425","4C +14.23","111.323","14.4312","FSRQ","N",,"FSRQ","Link","Link","Link"
"3FGL J0725.4-5007",,"111.371","-50.1197",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0725.7-0550",,"111.441","-5.8423",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0725.8-3532",,"111.459","-35.5373",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0725.8+0212",,"111.468","2.2068",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0725.8-0054","PKS 0723-008","111.468","-0.9086","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0726.6-4727","PMN J0726-4728","111.664","-47.4653","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0728.0+4828","GB6 J0727+4827","112.019","48.472","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0729.5-3127","NVSS J072922-313128","112.394","-31.4585","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0729.7-1448","PSR J0729-1448","112.431","-14.8006","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0730.2-1141","PKS 0727-11","112.574","-11.6842","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0730.3+6720","GB6 J0731+6718","112.585","67.3441","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0730.5+3307","1RXS J073026.0+330727","112.627","33.1266","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0730.5-0537","TXS 0728-054","112.632","-5.6204","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0730.5-6606","PMN J0730-6602","112.646","-66.1061","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0731.7-1914c",,"112.944","-19.237",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0731.8-3010",,"112.974","-30.1768",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0732.2-4638","PKS 0731-465","113.067","-46.6398","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0733.3+5904",,"113.328","59.0668",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0733.5+5153","NVSS J073326+515355","113.397","51.8913","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0733.8+5021","TXS 0730+504","113.45","50.3585","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0733.8+4108","GB6 J0733+4111","113.472","41.1426","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0734.3-7709","PKS 0736-770","113.577","-77.1609","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0734.7-1558","LAT PSR J0734-1559","113.68","-15.9806","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0737.2-3233",,"114.314","-32.5588",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0737.8-8245",,"114.462","-82.761",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0738.1+1741","PKS 0735+17","114.536","17.698","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0739.4+0137","PKS 0736+01","114.851","1.6274","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0739.8+1312",,"114.974","13.2109",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0740.6-5230",,"115.162","-52.5042",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0740.8+6621","PSR J0742+6620","115.22","66.361","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0742.4-8133c","SUMSS J074220-813139","115.621","-81.5587","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0742.6+5444","GB6 J0742+5444","115.66","54.7337","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0742.6-5623","PMN J0743-5619","115.673","-56.3903","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0742.7-2824","PSR J0742-2822","115.68","-28.4052","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0742.7-3110",,"115.694","-31.1739",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0744.1-3804","PMN J0743-3804","116.038","-38.074","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0744.1-2523",,"116.045","-25.3994",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0744.3+1715",,"116.082","17.2559",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0744.3+7434","MS 0737.9+7441","116.099","74.5767","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0744.8-4028","PMN J0744-4032","116.218","-40.4679","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0746.4+2540","B2 0743+25","116.61","25.6747","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0746.4-0225",,"116.618","-2.4221",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0746.6-0706","PMN J0746-0709","116.66","-7.1148","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0746.6-4756","PMN J0746-4755","116.663","-47.9368","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0746.9+8511","NVSS J074715+851208","116.725","85.1979","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0747.2-3311","PKS 0745-330","116.814","-33.1857","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0747.4-0734",,"116.863","-7.5801",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0747.4+0904","RX J0747.3+0905","116.867","9.068","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0747.5-4927",,"116.89","-49.4584",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0748.0-1639","TXS 0745-165","117.004","-16.661","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0748.3+2401","S3 0745+24","117.093","24.0236","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0748.5+7910","JVAS J0750+7909","117.136","79.1766","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0748.7-5116",,"117.178","-51.2795",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0748.8-2208",,"117.202","-22.1347",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0748.8+4929","NVSS J074837+493040","117.22","49.489","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0749.0+4459",,"117.265","44.9868",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0749.4+1059","TXS 0746+110","117.358","10.9835","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0749.5+1320",,"117.398","13.3402",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0750.6+1232","OI 280","117.674","12.5386","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0751.2+1806","PSR J0751+1807","117.805","18.1067","PSR","N",,"Pulsar","Link","Link","Link"
"3FGL J0751.7-2944",,"117.938","-29.7342",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0752.6-1629",,"118.152","-16.4892",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0753.1+5353","4C +54.15","118.283","53.8887","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0754.4-1148","TXS 0752-116","118.62","-11.813","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0754.8+4824","GB1 0751+485","118.709","48.4103","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0755.2-2633",,"118.802","-26.5615",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0756.3-6433","SUMSS J075625-643031","119.077","-64.563","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0757.0+0956","PKS 0754+100","119.274","9.9475","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0757.5-0536",,"119.396","-5.6063",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0758.1+1130","TXS 0755+117","119.545","11.5036","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0758.6-1451",,"119.656","-14.8661",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0758.7+3747","NGC 2484","119.679","37.7894","rdg","N",,"Radio galaxy","Link","Link","Link"
"3FGL J0758.9+2705","SDSS J075846.99+270515.5","119.727","27.0901","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0800.6-4806",,"120.174","-48.1147",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0800.9+4401","B3 0757+441","120.244","44.0173","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0802.0+1005","NVSS J080204+100639","120.508","10.0868","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0802.3-5610",,"120.583","-56.1688",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0802.3-0941",,"120.59","-9.696",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0803.3-0339","TXS 0800-034","120.832","-3.6629","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0804.0-3629","NVSS J080405-362919","121.024","-36.4966","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0804.4+0418","MG1 J080357+0420","121.106","4.3004","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0805.0-0622","1RXS J080458.3-062432","121.253","-6.3746","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0805.2-0112","PKS B0802-010","121.324","-1.2078","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0805.4+7534","RX J0805.4+7534","121.352","75.5815","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0805.4+6144","TXS 0800+618","121.358","61.7455","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0806.6+5933","SBS 0802+596","121.669","59.5592","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0807.1-0541","PKS 0804-05","121.782","-5.695","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0807.1+7744","NVSS J080637+774607","121.786","77.7382","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0807.9+4946","OJ 508","121.997","49.7738","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0808.2-0751","PKS 0805-07","122.072","-7.8519","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0809.5+4045","S4 0805+41","122.396","40.7572","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0809.5+5342","87GB 080551.6+535010","122.396","53.7087","fsrq","N",,"FSRQ","Link","Link","Link"
"3FGL J0809.6+3456","B2 0806+35","122.409","34.9416","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0809.8+5218","1ES 0806+524","122.454","52.3077","bll","P","1ES 0806+524","BL LAC","Link","Link","Link"
"3FGL J0810.5-5214",,"122.63","-52.2473",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0811.2-7529","PMN J0810-7530","122.811","-75.4915","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0811.3+0146","OJ 014","122.848","1.7812","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0812.0+0237","PMN J0811+0237","123.003","2.6262","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0812.9+5555","NVSS J081251+555422","123.242","55.9333","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0813.3+6509","GB6 J0812+6508","123.349","65.166","bcu","N",,"Blazar candidate","Link","Link","Link"
"3FGL J0813.5-0356",,"123.387","-3.9388",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0814.1-1012","NVSS J081411-101208","123.545","-10.2087","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0814.5+2943","EXO 0811.2+2949","123.65","29.721","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0814.7+6428","GB6 J0814+6431","123.677","64.4799","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0816.1-5044",,"124.028","-50.7484",,"N",,"Unassociated","Link","Link","Link"
"3FGL J0816.4-1311","PMN J0816-1311","124.116","-13.1908","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0816.5+2049","SDSS J081649.78+205106.4","124.144","20.8211","bll","N",,"BL LAC","Link","Link","Link"
"3FGL J0816.7-2421","PMN J0816-2421","124.18","-24.3573","bcu","N",,"Blazar candidate","Link","Link","Link"
