"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association"
"3FGL J0618.2-2429","PMN J0618-2426","94.5665","-24.4954","bcu","N",""
"3FGL J0618.9-1138","TXS 0616-116","94.7394","-11.6416","bcu","N",""
"3FGL J0619.4+2242","","94.8745","22.7063","","N",""
"3FGL J0620.4+2644","RX J0620.6+2644","95.1211","26.7395","bcu","N",""
"3FGL J0621.0+2514","PSR J0621+2514","95.2728","25.242","PSR","N",""
"3FGL J0622.2+3747","LAT PSR J0622+3749","95.5553","37.797","PSR","N",""
"3FGL J0622.4-2606","PMN J0622-2605","95.6091","-26.115","bll","N",""
"3FGL J0622.9+3326","B2 0619+33","95.7346","33.4357","BCU","N",""
"3FGL J0623.1-4143","","95.7795","-41.7256","","N",""
"3FGL J0623.3+3043","GB6 J0623+3045","95.8272","30.7248","bcu","N",""
"3FGL J0625.2+4440","GB6 J0625+4440","96.3183","44.6804","bll","N",""
"3FGL J0626.0-5436","PMN J0625-5438","96.5207","-54.607","fsrq","N",""
"3FGL J0626.6-4259","1RXS J062635.9-425810","96.6671","-42.9978","bcu","N",""
"3FGL J0626.8+1743","","96.7115","17.7317","","N",""
"3FGL J0627.0-3529","PKS 0625-35","96.7727","-35.4893","rdg","N",""
"3FGL J0627.9-1517","NVSS J062753-152003","96.9853","-15.2978","bcu","N",""
"3FGL J0628.4+2429","","97.123","24.498","","N",""
"3FGL J0629.0-6248","PKS 0628-627","97.2716","-62.8059","bll","N",""
"3FGL J0629.4-1959","PKS 0627-199","97.3581","-19.9857","bll","N",""
"3FGL J0630.2-0929c","","97.571","-9.4961","","N",""
"3FGL J0630.3+6906","GB6 J0629+6900","97.5893","69.1122","bcu","N",""
"3FGL J0630.9-2406","TXS 0628-240","97.7469","-24.1101","bll","N",""
"3FGL J0631.2+2019","TXS 0628+203","97.803","20.3282","bcu","N",""
"3FGL J0631.5+1036","PSR J0631+1036","97.8862","10.6134","PSR","N",""
"3FGL J0631.6+0644","","97.9071","6.7408","spp","N",""
"3FGL J0633.7+0632","LAT PSR J0633+0632","98.438","6.5413","PSR","N",""
"3FGL J0633.9+1746","PSR J0633+1746","98.4788","17.7732","PSR","E","Geminga"
"3FGL J0634.1+0424","","98.5283","4.4062","","N",""
"3FGL J0634.7-2334","PMN J0634-2335","98.6771","-23.5747","fsrq","N",""
"3FGL J0635.7-7517","PKS 0637-75","98.9417","-75.2926","fsrq","N",""
"3FGL J0636.7+7115","","99.1914","71.2632","","N",""
"3FGL J0637.5+0418","","99.3835","4.315","","N",""
"3FGL J0638.4+5704","","99.605","57.0743","","N",""
"3FGL J0638.6+7324","S5 0633+73","99.6529","73.4078","fsrq","N",""
"3FGL J0639.9+3250","","99.9877","32.8394","","N",""
"3FGL J0640.0-1252","TXS 0637-128","100.0211","-12.8759","bcu","N",""
"3FGL J0640.9+0752","","100.2469","7.8818","spp","N",""
"3FGL J0641.1+1004","","100.286","10.0833","","N",""
"3FGL J0641.8-0319","TXS 0639-032","100.4708","-3.3189","bcu","N",""
"3FGL J0643.2+0859","PMN J0643+0857","100.8029","8.9954","fsrq","N",""
"3FGL J0643.4-5358","PMN J0643-5358","100.851","-53.9723","bcu","N",""
"3FGL J0644.3-6713","PKS 0644-671","101.0876","-67.2227","bcu","N",""
"3FGL J0644.6+6035","","101.1519","60.5911","","N",""
"3FGL J0644.6-2853","1RXS J064444.2-285120","101.1593","-28.8965","bcu","N",""
"3FGL J0645.9-3914","PKS 0644-390","101.4887","-39.237","fsrq","N",""
"3FGL J0646.4-5452","PMN J0646-5451","101.6014","-54.878","bcu","N",""
"3FGL J0647.0-5134","1ES 0646-515","101.766","-51.57","bcu","N",""
"3FGL J0647.1-4415","SUMSS J064648-441929","101.7765","-44.2584","bcu","N",""
"3FGL J0647.6-6058","PMN J0647-6058","101.9078","-60.9668","bcu","N",""
"3FGL J0647.6+0032","","101.9134","0.5345","","N",""
"3FGL J0647.8+1751","","101.9623","17.8514","","N",""
"3FGL J0648.1+1606","1RXS J064814.1+160708","102.0412","16.1082","bcu","N",""
"3FGL J0648.1-3045","PKS 0646-306","102.0435","-30.7624","fsrq","N",""
"3FGL J0648.8+1516","RX J0648.7+1516","102.205","15.2764","bll","P","RX J0648.7+1516"
"3FGL J0648.8-1740","TXS 0646-176","102.2089","-17.6684","fsrq","N",""
"3FGL J0649.6-3138","1RXS J064933.8-313914","102.4003","-31.635","bcu","N",""
"3FGL J0650.4-1636","PKS 0648-16","102.6057","-16.6085","bcu","N",""
"3FGL J0650.5+2055","1RXS J065033.9+205603","102.6444","20.9299","bcu","N",""
"3FGL J0650.7+2503","1ES 0647+250","102.6965","25.0632","bll","P","1ES 0647+250"
"3FGL J0650.9+6524","","102.7485","65.4148","","N",""
"3FGL J0651.3+4014","RX J0651.0+4013","102.8291","40.2459","bcu","N",""
"3FGL J0652.0-4808","1RXS J065201.0-480858","103.0146","-48.1344","bcu","N",""
"3FGL J0653.6+2817","GB6 J0653+2816","103.4137","28.2904","bcu","N",""
"3FGL J0654.4+4514","B3 0650+453","103.6042","45.2469","FSRQ","N",""
"3FGL J0654.4+5042","GB6 J0654+5042","103.6087","50.702","fsrq","N",""
"3FGL J0654.5+0926","RX J0654.3+0925","103.6378","9.4472","bcu","N",""
"3FGL J0656.2-0323","TXS 0653-033","104.0538","-3.3897","fsrq","N",""
"3FGL J0656.4+4232","4C +42.22","104.1012","42.542","bll","N",""
"3FGL J0657.6-4701","","104.424","-47.0263","","N",""
"3FGL J0658.3-5832","PMN J0658-5840","104.5861","-58.547","bcu","N",""
"3FGL J0658.6+0636","NVSS J065844+063711","104.6513","6.6041","bcu","N",""
"3FGL J0658.8+2318","","104.7197","23.3146","","N",""
"3FGL J0659.2-0439c","","104.8022","-4.6526","","N",""
"3FGL J0659.5+1414","PSR J0659+1414","104.8995","14.2469","PSR","N",""
"3FGL J0700.0+1709","TXS 0657+172","105.0231","17.1563","bcu","N",""
"3FGL J0700.2+1304","GB6 J0700+1304","105.0726","13.0778","bcu","N",""
"3FGL J0700.3-6310","SUMSS J065958-631238","105.0831","-63.1811","bcu","N",""
"3FGL J0700.6-6610","PKS 0700-661","105.1577","-66.173","bll","N",""
"3FGL J0700.6+3557","","105.1617","35.9665","","N",""
"3FGL J0701.4-4634","PKS 0700-465","105.3503","-46.5735","fsrq","N",""
"3FGL J0702.7-1952","TXS 0700-197","105.6797","-19.8708","bll","N",""
"3FGL J0703.4-3914","1RXS J070312.7-391417","105.861","-39.2377","bcu","N",""
"3FGL J0704.1-1043","","106.0345","-10.7218","","N",""
"3FGL J0704.3-4828","","106.075","-48.4751","","N",""
"3FGL J0705.7-0006","","106.438","-0.1127","","N",""
"3FGL J0706.1-4849","PMN J0705-4847","106.5373","-48.8263","bcu","N",""
"3FGL J0706.5+3744","GB6 J0706+3744","106.6292","37.7485","bll","N",""
"3FGL J0707.0+7741","NVSS J070651+774137","106.7547","77.6982","bll","N",""
"3FGL J0707.2+6101","TXS 0702+612","106.8123","61.0295","bll","N",""
"3FGL J0707.5-3111","","106.8872","-31.197","","N",""
"3FGL J0707.7-1035c","","106.9275","-10.5922","","N",""
"3FGL J0708.7+1747","","107.1963","17.7941","","N",""
"3FGL J0708.9+2239","GB6 J0708+2241","107.2367","22.6664","bcu","N",""
"3FGL J0709.7-0256","PMN J0709-0255","107.446","-2.9391","bll","N",""
"3FGL J0710.3+5908","1H 0658+595","107.5851","59.1483","bll","P","RGB J0710+591"
"3FGL J0710.5+4732","S4 0707+47","107.6253","47.5334","bll","N",""
"3FGL J0711.1-1037","","107.7939","-10.6212","","N",""
"3FGL J0712.2-3806","","108.0519","-38.1104","","N",""
"3FGL J0712.2-6436","MRC 0712-643","108.0701","-64.6161","bcu","N",""
"3FGL J0712.6+5033","GB6 J0712+5033","108.1717","50.5563","bll","N",""
"3FGL J0713.9+1933","MG2 J071354+1934","108.4959","19.5591","fsrq","N",""
"3FGL J0714.7-3924","","108.6772","-39.4086","","N",""
"3FGL J0716.0-4525","","109.0108","-45.4221","","N",""
"3FGL J0718.7-4319","PMN J0718-4319","109.6903","-43.33","bll","N",""
"3FGL J0718.9-5004","","109.7381","-50.0794","","N",""
"3FGL J0719.3+3307","B2 0716+33","109.8288","33.1253","fsrq","N",""
"3FGL J0720.0-4010","1RXS J071939.2-401153","110.0167","-40.1812","bcu","N",""
"3FGL J0721.4+0404","PMN J0721+0406","110.364","4.0737","fsrq","N",""
"3FGL J0721.5-0221","","110.3754","-2.3616","","N",""
"3FGL J0721.9+7120","S5 0716+71","110.4902","71.3452","BLL","P","S5 0716+71"
"3FGL J0722.2-2648","","110.551","-26.8037","","N",""
"3FGL J0723.2-0728","1RXS J072259.5-073131","110.8047","-7.4703","bcu","N",""
"3FGL J0723.7+2050","GB6 J0723+2051","110.9294","20.8462","bcu","N",""
"3FGL J0724.1+2857","GB6 J0723+2859","111.0316","28.959","fsrq","N",""
"3FGL J0725.2+1425","4C +14.23","111.3233","14.4312","FSRQ","N",""
"3FGL J0725.4-5007","","111.3708","-50.1197","","N",""
"3FGL J0725.7-0550","","111.4407","-5.8423","","N",""
"3FGL J0725.8-3532","","111.4593","-35.5373","","N",""
"3FGL J0725.8+0212","","111.4681","2.2068","","N",""
"3FGL J0725.8-0054","PKS 0723-008","111.4682","-0.9086","bcu","N",""
"3FGL J0726.6-4727","PMN J0726-4728","111.6639","-47.4653","fsrq","N",""
"3FGL J0728.0+4828","GB6 J0727+4827","112.0191","48.472","bcu","N",""
"3FGL J0729.5-3127","NVSS J072922-313128","112.3939","-31.4585","bcu","N",""
"3FGL J0729.7-1448","PSR J0729-1448","112.4311","-14.8006","PSR","N",""
"3FGL J0730.2-1141","PKS 0727-11","112.5736","-11.6842","fsrq","N",""
"3FGL J0730.3+6720","GB6 J0731+6718","112.5846","67.3441","fsrq","N",""
"3FGL J0730.5+3307","1RXS J073026.0+330727","112.6271","33.1266","bll","N",""
"3FGL J0730.5-0537","TXS 0728-054","112.6315","-5.6204","bcu","N",""
"3FGL J0730.5-6606","PMN J0730-6602","112.6458","-66.1061","bcu","N",""
"3FGL J0731.7-1914c","","112.9439","-19.237","","N",""
"3FGL J0731.8-3010","","112.9739","-30.1768","","N",""
"3FGL J0732.2-4638","PKS 0731-465","113.0672","-46.6398","bcu","N",""
"3FGL J0733.3+5904","","113.328","59.0668","","N",""
"3FGL J0733.5+5153","NVSS J073326+515355","113.3975","51.8913","bcu","N",""
"3FGL J0733.8+5021","TXS 0730+504","113.4504","50.3585","fsrq","N",""
"3FGL J0733.8+4108","GB6 J0733+4111","113.4723","41.1426","bll","N",""
"3FGL J0734.3-7709","PKS 0736-770","113.5769","-77.1609","bcu","N",""
"3FGL J0734.7-1558","LAT PSR J0734-1559","113.6796","-15.9806","PSR","N",""
"3FGL J0737.2-3233","","114.314","-32.5588","","N",""
"3FGL J0737.8-8245","","114.4615","-82.761","","N",""
"3FGL J0738.1+1741","PKS 0735+17","114.5361","17.698","bll","N",""
"3FGL J0739.4+0137","PKS 0736+01","114.8509","1.6274","fsrq","N",""
"3FGL J0739.8+1312","","114.9742","13.2109","","N",""
"3FGL J0740.6-5230","","115.1616","-52.5042","","N",""
"3FGL J0740.8+6621","PSR J0742+6620","115.2196","66.361","PSR","N",""
"3FGL J0742.4-8133c","SUMSS J074220-813139","115.6206","-81.5587","bcu","N",""
"3FGL J0742.6+5444","GB6 J0742+5444","115.6601","54.7337","fsrq","N",""
"3FGL J0742.6-5623","PMN J0743-5619","115.6733","-56.3903","fsrq","N",""
"3FGL J0742.7-2824","PSR J0742-2822","115.6803","-28.4052","PSR","N",""
"3FGL J0742.7-3110","","115.6936","-31.1739","","N",""
"3FGL J0744.1-3804","PMN J0743-3804","116.0383","-38.074","bcu","N",""
"3FGL J0744.1-2523","","116.0447","-25.3994","","N",""
"3FGL J0744.3+1715","","116.082","17.2559","","N",""
"3FGL J0744.3+7434","MS 0737.9+7441","116.0985","74.5767","bll","N",""
"3FGL J0744.8-4028","PMN J0744-4032","116.2181","-40.4679","bcu","N",""
"3FGL J0746.4+2540","B2 0743+25","116.61","25.6747","fsrq","N",""
"3FGL J0746.4-0225","","116.6185","-2.4221","","N",""
"3FGL J0746.6-0706","PMN J0746-0709","116.6604","-7.1148","bcu","N",""
"3FGL J0746.6-4756","PMN J0746-4755","116.6633","-47.9368","bcu","N",""
"3FGL J0746.9+8511","NVSS J074715+851208","116.7251","85.1979","bcu","N",""
"3FGL J0747.2-3311","PKS 0745-330","116.8145","-33.1857","bcu","N",""
"3FGL J0747.4-0734","","116.8628","-7.5801","","N",""
"3FGL J0747.4+0904","RX J0747.3+0905","116.8669","9.068","bll","N",""
"3FGL J0747.5-4927","","116.8897","-49.4584","","N",""
"3FGL J0748.0-1639","TXS 0745-165","117.004","-16.661","bcu","N",""
"3FGL J0748.3+2401","S3 0745+24","117.0935","24.0236","fsrq","N",""
"3FGL J0748.5+7910","JVAS J0750+7909","117.1357","79.1766","bcu","N",""
"3FGL J0748.7-5116","","117.1785","-51.2795","","N",""
"3FGL J0748.8-2208","","117.2021","-22.1347","","N",""
"3FGL J0748.8+4929","NVSS J074837+493040","117.2205","49.489","bcu","N",""
"3FGL J0749.0+4459","","117.2654","44.9868","","N",""
"3FGL J0749.4+1059","TXS 0746+110","117.3583","10.9835","bcu","N",""
"3FGL J0749.5+1320","","117.3978","13.3402","","N",""
"3FGL J0750.6+1232","OI 280","117.6735","12.5386","fsrq","N",""
"3FGL J0751.2+1806","PSR J0751+1807","117.8052","18.1067","PSR","N",""
"3FGL J0751.7-2944","","117.9383","-29.7342","","N",""
"3FGL J0752.6-1629","","118.152","-16.4892","","N",""
"3FGL J0753.1+5353","4C +54.15","118.2829","53.8887","bll","N",""
"3FGL J0754.4-1148","TXS 0752-116","118.6203","-11.813","bll","N",""
"3FGL J0754.8+4824","GB1 0751+485","118.7088","48.4103","bll","N",""
"3FGL J0755.2-2633","","118.8017","-26.5615","","N",""
"3FGL J0756.3-6433","SUMSS J075625-643031","119.077","-64.563","bcu","N",""
"3FGL J0757.0+0956","PKS 0754+100","119.2737","9.9475","bll","N",""
"3FGL J0757.5-0536","","119.3962","-5.6063","","N",""
"3FGL J0758.1+1130","TXS 0755+117","119.5449","11.5036","fsrq","N",""
"3FGL J0758.6-1451","","119.6564","-14.8661","","N",""
"3FGL J0758.7+3747","NGC 2484","119.6791","37.7894","rdg","N",""
"3FGL J0758.9+2705","SDSS J075846.99+270515.5","119.727","27.0901","bll","N",""
"3FGL J0800.6-4806","","120.1743","-48.1147","","N",""
"3FGL J0800.9+4401","B3 0757+441","120.2443","44.0173","bll","N",""
"3FGL J0802.0+1005","NVSS J080204+100639","120.5077","10.0868","bll","N",""
"3FGL J0802.3-5610","","120.5829","-56.1688","","N",""
"3FGL J0802.3-0941","","120.5899","-9.696","","N",""
"3FGL J0803.3-0339","TXS 0800-034","120.8323","-3.6629","bcu","N",""
"3FGL J0804.0-3629","NVSS J080405-362919","121.0238","-36.4966","bcu","N",""
"3FGL J0804.4+0418","MG1 J080357+0420","121.1059","4.3004","bcu","N",""
"3FGL J0805.0-0622","1RXS J080458.3-062432","121.2528","-6.3746","bcu","N",""
"3FGL J0805.2-0112","PKS B0802-010","121.3237","-1.2078","fsrq","N",""
"3FGL J0805.4+7534","RX J0805.4+7534","121.3521","75.5815","bll","N",""
"3FGL J0805.4+6144","TXS 0800+618","121.3583","61.7455","fsrq","N",""
"3FGL J0806.6+5933","SBS 0802+596","121.6694","59.5592","bll","N",""
"3FGL J0807.1-0541","PKS 0804-05","121.7823","-5.695","bll","N",""
"3FGL J0807.1+7744","NVSS J080637+774607","121.7862","77.7382","bcu","N",""
"3FGL J0807.9+4946","OJ 508","121.9974","49.7738","fsrq","N",""
"3FGL J0808.2-0751","PKS 0805-07","122.0721","-7.8519","fsrq","N",""
"3FGL J0809.5+4045","S4 0805+41","122.3961","40.7572","fsrq","N",""
"3FGL J0809.5+5342","87GB 080551.6+535010","122.3965","53.7087","fsrq","N",""
"3FGL J0809.6+3456","B2 0806+35","122.4088","34.9416","bll","N",""
"3FGL J0809.8+5218","1ES 0806+524","122.4545","52.3077","bll","P","1ES 0806+524"
"3FGL J0810.5-5214","","122.6301","-52.2473","","N",""
"3FGL J0811.2-7529","PMN J0810-7530","122.8113","-75.4915","bll","N",""
"3FGL J0811.3+0146","OJ 014","122.8479","1.7812","bll","N",""
"3FGL J0812.0+0237","PMN J0811+0237","123.0032","2.6262","bll","N",""
"3FGL J0812.9+5555","NVSS J081251+555422","123.2418","55.9333","bll","N",""
"3FGL J0813.3+6509","GB6 J0812+6508","123.3492","65.166","bcu","N",""
"3FGL J0813.5-0356","","123.3871","-3.9388","","N",""
"3FGL J0814.1-1012","NVSS J081411-101208","123.5448","-10.2087","bll","N",""
"3FGL J0814.5+2943","EXO 0811.2+2949","123.6499","29.721","bll","N",""
"3FGL J0814.7+6428","GB6 J0814+6431","123.677","64.4799","bll","N",""
"3FGL J0816.1-5044","","124.0278","-50.7484","","N",""
"3FGL J0816.4-1311","PMN J0816-1311","124.116","-13.1908","bll","N",""
"3FGL J0816.5+2049","SDSS J081649.78+205106.4","124.1444","20.8211","bll","N",""
"3FGL J0816.7-2421","PMN J0816-2421","124.1802","-24.3573","bcu","N",""
"3FGL J0816.7+5739","SBS 0812+578","124.1827","57.6603","bll","N",""
"3FGL J0817.8-0935","TXS 0815-094","124.472","-9.5878","bll","N",""
"3FGL J0818.0+3237","","124.5239","32.6301","","N",""
"3FGL J0818.2+4223","S4 0814+42","124.5615","42.399","bll","N",""
"3FGL J0818.8+2751","5C 07.119","124.7139","27.8546","bll","N",""
"3FGL J0820.4+3640","MG2 J082018+3640","125.1241","36.682","bll","N",""
"3FGL J0820.9-1258","PKS 0818-128","125.2324","-12.9759","bll","N",""
"3FGL J0822.6-4250e","Puppis A","125.66","-42.84","SNR","N",""
"3FGL J0822.9+4041","B3 0819+408","125.7375","40.6947","fsrq","N",""
"3FGL J0823.3-4205c","","125.8482","-42.0929","","N",""
"3FGL J0823.6-4838","","125.9135","-48.6366","","N",""
"3FGL J0824.1+2434","B2 0821+24","126.0356","24.5764","fsrq","N",""
"3FGL J0824.9+5551","OJ 535","126.2306","55.8582","fsrq","N",""
"3FGL J0824.9+3916","4C +39.23","126.249","39.2768","fsrq","N",""
"3FGL J0825.4-0213","PMN J0825-0204","126.356","-2.231","bcu","N",""
"3FGL J0825.8-3217","PKS 0823-321","126.4536","-32.2856","bcu","N",""
"3FGL J0825.9-2230","PKS 0823-223","126.4983","-22.505","bll","N",""
"3FGL J0826.0+0307","PKS 0823+033","126.5194","3.1247","bll","N",""
"3FGL J0826.3-5056","","126.5885","-50.9478","","N",""
"3FGL J0826.3-6400","","126.5935","-64.0109","","N",""
"3FGL J0827.2-0711","PMN J0827-0708","126.8085","-7.1901","bcu","N",""
"3FGL J0828.5+5217","TXS 0824+524","127.1401","52.2954","fsrq","N",""
"3FGL J0828.8-2420","NVSS J082841-241850","127.208","-24.3401","bcu","N",""
"3FGL J0829.3+0901","TXS 0826+091","127.3367","9.0167","fsrq","N",""
"3FGL J0829.6-1137","NVSS J082939-114103","127.4036","-11.6213","bcu","N",""
"3FGL J0829.8-5239","","127.4685","-52.6586","","N",""
"3FGL J0830.3-5855","PMN J0829-5856","127.5754","-58.9179","bcu","N",""
"3FGL J0830.5-4452","","127.6352","-44.8689","","N",""
"3FGL J0830.7+2408","OJ 248","127.681","24.1378","FSRQ","N",""
"3FGL J0830.8+2629","","127.7042","26.4911","","N",""
"3FGL J0831.9+0430","PKS 0829+046","127.9913","4.5032","bll","N",""
"3FGL J0832.6+4914","OJ 448","128.1667","49.2494","bll","N",""
"3FGL J0832.8-4321","","128.2146","-43.3568","","N",""
"3FGL J0833.1-4511e","Vela X","128.2872","-45.1901","PWN","E","Vela X"
"3FGL J0834.1+4223","OJ 451","128.5283","42.3967","fsrq","N",""
"3FGL J0834.5-4825","","128.6336","-48.4224","","N",""
"3FGL J0834.6+6101","","128.6742","61.0216","","N",""
"3FGL J0834.7+4403","B3 0831+442","128.6891","44.0604","bll","N",""
"3FGL J0835.3-4510","PSR J0835-4510","128.8378","-45.1783","PSR","P","Vela Pulsar"
"3FGL J0835.4+0930","GB6 J0835+0936","128.865","9.51","bll","N",""
"3FGL J0836.3+2143","MG2 J083615+2138","129.0897","21.7183","bcu","N",""
"3FGL J0836.5-2020","PKS 0834-20","129.1405","-20.3441","fsrq","N",""
"3FGL J0838.1-4615","","129.5456","-46.2628","spp","N",""
"3FGL J0838.8-2829","","129.7041","-28.4892","","N",""
"3FGL J0838.9-4056c","","129.7449","-40.9378","","N",""
"3FGL J0839.1-4739","","129.7766","-47.6626","spp","N",""
"3FGL J0839.5+0102","PKS 0837+012","129.8898","1.038","fsrq","N",""
"3FGL J0839.6+3538","FIRST J083943.3+354001","129.9117","35.6387","bll","N",""
"3FGL J0839.6-4133","","129.9201","-41.5555","","N",""
"3FGL J0839.6+1803","TXS 0836+182","129.9226","18.0589","bll","N",""
"3FGL J0840.8+1315","3C 207","130.2103","13.2526","ssrq","N",""
"3FGL J0841.3-3554","NVSS J084121-355506","130.3348","-35.9051","bcu","N",""
"3FGL J0841.4+7053","S5 0836+71","130.3727","70.8972","FSRQ","N",""
"3FGL J0842.0-6055","PMN J0842-6053","130.5198","-60.928","bcu","N",""
"3FGL J0843.1-4546","","130.7946","-45.7743","spp","N",""
"3FGL J0843.4+6713","","130.859","67.2181","","N",""
"3FGL J0843.9+5311","NVSS J084411+531250","130.9923","53.1989","bll","N",""
"3FGL J0844.3-4741","","131.0823","-47.684","","N",""
"3FGL J0845.1-5458","PMN J0845-5458","131.2966","-54.9736","bcu","N",""
"3FGL J0846.7-0651","TXS 0845-068","131.6775","-6.8581","bll","N",""
"3FGL J0846.8-2638","","131.7156","-26.6498","","N",""
"3FGL J0846.9-2336","PMN J0847-2337","131.7498","-23.604","bll","N",""
"3FGL J0847.1+1134","RX J0847.1+1133","131.7878","11.5684","bll","P","RBS 0723"
"3FGL J0847.2-6936","","131.8078","-69.613","","N",""
"3FGL J0847.4-4327","","131.8634","-43.4587","","N",""
"3FGL J0848.2-4524","","132.0712","-45.4129","","N",""
"3FGL J0848.5+7018","","132.1311","70.3008","","N",""
"3FGL J0849.1+6607","GB6 J0848+6605","132.2968","66.1266","bll","N",""
"3FGL J0849.3+0458","TXS 0846+051","132.3253","4.9799","bll","N",""
"3FGL J0849.5-2912","NVSS J084922-291149","132.3905","-29.2032","bcu","N",""
"3FGL J0849.9-3540","PMN J0849-3541","132.4819","-35.6789","bcu","N",""
"3FGL J0849.9+5108","SBS 0846+513","132.4822","51.1445","NLSY1","N",""
"3FGL J0850.0+4855","GB6 J0850+4855","132.5195","48.9197","bll","N",""
"3FGL J0850.2-1214","PMN J0850-1213","132.5568","-12.234","fsrq","N",""
"3FGL J0850.2+3500","RX J0850.5+3455","132.5662","35.0006","bll","N",""
"3FGL J0851.4-4244","","132.8655","-42.7478","","N",""
"3FGL J0851.8+5531","SDSS J085135.93+552834.5","132.9564","55.5252","bll","N",""
"3FGL J0852.6-5756","PMN J0852-5755","133.1714","-57.9461","bcu","N",""
"3FGL J0852.7-4631e","Vela Jr","133.2","-46.52","SNR","E","RX J0852.0-4622"
"3FGL J0853.0-3654","NVSS J085310-365820","133.2735","-36.9134","bcu","N",""
"3FGL J0854.2+4408","B3 0850+443","133.5732","44.1453","bll","N",""
"3FGL J0854.4-4404","","133.6205","-44.0765","","N",""
"3FGL J0854.8+2006","OJ 287","133.7004","20.1121","BLL","N",""
"3FGL J0854.8-4503","","133.7108","-45.0616","","N",""
"3FGL J0855.2-0718","PKS 0852-07","133.8085","-7.3077","bcu","N",""
"3FGL J0855.4-4818","","133.855","-48.3163","","N",""
"3FGL J0855.4+7142","","133.8615","71.7123","","N",""
"3FGL J0856.4+6429","","134.11","64.4846","","N",""
"3FGL J0856.5+2057","TXS 0853+211","134.1497","20.9585","bll","N",""
"3FGL J0856.7-1105","PMN J0856-1105","134.1805","-11.0862","bll","N",""
"3FGL J0857.6-4258","","134.4088","-42.9824","","N",""
"3FGL J0858.0-4834","","134.519","-48.5691","","N",""
"3FGL J0858.1-1951","PKS 0855-19","134.5407","-19.8551","bcu","N",""
"3FGL J0858.1-3130","1RXS J085802.6-313043","134.5463","-31.5126","bcu","N",""
"3FGL J0858.6-4357","","134.6567","-43.9582","","N",""
"3FGL J0859.1+6219","1RXS J085930.5+621737","134.791","62.321","bll","N",""
"3FGL J0859.3-4732","","134.8466","-47.5492","","N",""
"3FGL J0900.0+6754","","135.0224","67.9137","","N",""
"3FGL J0901.0-6725","","135.2622","-67.4256","","N",""
"3FGL J0901.6-4700","","135.4049","-47.0013","","N",""
"3FGL J0902.4+2050","NVSS J090226+205045","135.6218","20.8474","bll","N",""
"3FGL J0903.0-4826","","135.7632","-48.4496","","N",""
"3FGL J0903.1+4649","S4 0859+47","135.7992","46.8202","fsrq","N",""
"3FGL J0903.2-4744","","135.8141","-47.7429","","N",""
"3FGL J0904.3+4240","S4 0900+42","136.0882","42.6825","bcu","N",""
"3FGL J0904.8-5734","PKS 0903-57","136.2176","-57.5705","bcu","N",""
"3FGL J0904.8-3516","NVSS J090442-351423","136.2237","-35.2761","bcu","N",""
"3FGL J0904.9+2739","GB6 J0905+2748A","136.2266","27.661","fsrq","N",""
"3FGL J0905.5+1358","MG1 J090534+1358","136.3901","13.9702","bll","N",""
"3FGL J0905.6-4917","","136.4197","-49.2959","","N",""
"3FGL J0905.8-2127","","136.4579","-21.4611","","N",""
"3FGL J0906.0-4705","","136.5063","-47.0977","","N",""
"3FGL J0906.3-0906","PMN J0906-0905","136.5795","-9.101","bll","N",""
"3FGL J0907.0-4802","","136.7539","-48.043","","N",""
"3FGL J0908.4-4916","PSR J0908-4913","137.1098","-49.2705","PSR","N",""
"3FGL J0909.0+2310","RX J0908.9+2311","137.2666","23.167","bll","N",""
"3FGL J0909.1+0121","PKS 0906+01","137.2979","1.358","fsrq","N",""
"3FGL J0909.6+0157","PKS 0907+022","137.4174","1.9618","bll","N",""
"3FGL J0909.8-0229","PKS 0907-023","137.4575","-2.4997","fsrq","N",""
"3FGL J0910.5+3329","Ton 1015","137.6469","33.4899","bll","N",""
"3FGL J0910.7+3858","FBQS J091052.0+390202","137.6894","38.9714","bll","N",""
"3FGL J0910.9+2248","TXS 0907+230","137.7455","22.8035","fsrq","N",""
"3FGL J0911.8+3351","MG2 J091151+3349","137.9689","33.8547","bll","N",""
"3FGL J0912.2+4126","B3 0908+416B","138.0565","41.4414","fsrq","N",""
"3FGL J0912.2-6452","NGC 2808","138.0712","-64.8826","glc","N",""
"3FGL J0912.4+2800","1RXS J091211.9+275955","138.108","28.0041","bll","N",""
"3FGL J0912.6-2757","PMN J0912-2752","138.167","-27.9576","bcu","N",""
"3FGL J0912.7+1556","SDSS J091230.61+155528.0","138.1957","15.9343","bll","N",""
"3FGL J0912.9-2104","MRC 0910-208","138.2477","-21.0771","bll","N",""
"3FGL J0914.5-4736","","138.6411","-47.6152","","N",""
"3FGL J0915.0+5844","SDSS J091608.57+584434.0","138.7704","58.7402","bcu","N",""
"3FGL J0915.8-5110","","138.9641","-51.1799","","N",""
"3FGL J0915.8+2933","Ton 0396","138.9647","29.5604","bll","N",""
"3FGL J0916.3+3857","S4 0913+39","139.0901","38.9618","fsrq","N",""
"3FGL J0917.3-0344","NVSS J091714-034315","139.347","-3.7367","bcu","N",""
"3FGL J0918.2-4859","","139.5731","-48.9891","","N",""
"3FGL J0919.4+6604","","139.8712","66.0751","","N",""
"3FGL J0919.5-2200","","139.8834","-22.0054","","N",""
