"Source Name","Association","RA","Dec","Classification (code)","TEV Cat","TEV Association"
"3FGL J0032.3-2852","PMN J0032-2849","8.0902","-28.8767","bll","N",""
"3FGL J0032.3-5522","","8.0939","-55.3688","","N",""
"3FGL J0032.5+3912","","8.1464","39.2131","","N",""
"3FGL J0033.6-1921","KUV 00311-1938","8.4022","-19.3638","bll","P","KUV 00311-1938"
"3FGL J0034.3-0534","PSR J0034-0534","8.5897","-5.5825","PSR","N",""
"3FGL J0035.2+1513","RX J0035.2+1515","8.8086","15.2222","bll","N",""
"3FGL J0035.9+5949","1ES 0033+595","8.9891","59.8318","bll","P","1ES 0033+595"
"3FGL J0037.9+1239","NVSS J003750+123818","9.4766","12.6518","bll","N",""
"3FGL J0038.0-2501","PKS 0035-252","9.5085","-25.032","fsrq","N",""
"3FGL J0038.0+0012","NVSS J003808+001336","9.5226","0.2095","bll","N",""
"3FGL J0039.0-2218","PMN J0039-2220","9.7505","-22.3068","bcu","N",""
"3FGL J0039.1-0939","TXS 0036-099","9.7821","-9.6578","fsrq","N",""
"3FGL J0039.1+4330","NVSS J003907+433015","9.7979","43.5016","bcu","N",""
"3FGL J0039.3+6256","","9.8342","62.9415","","N",""
"3FGL J0040.3+4049","B3 0037+405","10.083","40.8178","bcu","N",""
"3FGL J0040.5-2339","PMN J0040-2340","10.1471","-23.6513","bcu","N",""
"3FGL J0041.9+3639","RX J0042.0+3641","10.4998","36.6616","bll","N",""
"3FGL J0042.0+2318","PKS 0039+230","10.5182","23.3046","fsrq","N",""
"3FGL J0042.5+4117","M31","10.6293","41.2957","gal","N",""
"3FGL J0043.5-0444","1RXS J004333.7-044257","10.892","-4.7398","bcu","N",""
"3FGL J0043.7-1117","1RXS J004349.3-111612","10.935","-11.2881","bcu","N",""
"3FGL J0043.8+3425","GB6 J0043+3426","10.9692","34.4294","fsrq","N",""
"3FGL J0045.2-3704","PKS 0042-373","11.3109","-37.0796","bcu","N",""
"3FGL J0045.3+2126","GB6 J0045+2127","11.3494","21.4459","bll","N",""
"3FGL J0045.7+1217","GB6 J0045+1217","11.4347","12.2881","bll","N",""
