Frequency [Hz]	Log Mag [dB]	Phase [degrees]	Group Delay [s]
8.55E+08	4.04E+01	-1.50E+02	1.34E-08
8.63E+08	4.02E+01	1.75E+02	1.28E-08
8.70E+08	4.02E+01	1.40E+02	1.28E-08
8.78E+08	4.00E+01	1.06E+02	1.26E-08
8.85E+08	3.99E+01	7.23E+01	1.24E-08
8.93E+08	3.97E+01	3.90E+01	1.24E-08
9.00E+08	3.96E+01	5.78E+00	1.24E-08
9.08E+08	3.95E+01	-2.68E+01	1.19E-08
9.15E+08	3.95E+01	-5.92E+01	1.21E-08
9.23E+08	3.97E+01	-9.28E+01	1.23E-08
9.30E+08	3.99E+01	-1.26E+02	1.23E-08
9.38E+08	3.99E+01	-1.59E+02	1.23E-08
9.45E+08	4.02E+01	1.66E+02	1.30E-08
9.53E+08	4.02E+01	1.32E+02	1.23E-08
9.60E+08	4.05E+01	9.84E+01	1.28E-08
9.68E+08	4.06E+01	6.41E+01	1.25E-08
9.75E+08	4.09E+01	3.02E+01	1.27E-08
9.83E+08	4.11E+01	-4.69E+00	1.30E-08
9.90E+08	4.14E+01	-4.01E+01	1.30E-08
9.98E+08	4.16E+01	-7.69E+01	1.32E-08
1.01E+09	4.17E+01	-1.12E+02	1.34E-08
1.01E+09	4.17E+01	-1.49E+02	1.34E-08
1.02E+09	4.16E+01	1.76E+02	1.28E-08
1.03E+09	4.15E+01	1.41E+02	1.33E-08
1.04E+09	4.14E+01	1.05E+02	1.30E-08
1.04E+09	4.13E+01	7.03E+01	1.30E-08
1.05E+09	4.13E+01	3.60E+01	1.27E-08
1.06E+09	4.12E+01	1.17E+00	1.30E-08
1.07E+09	4.12E+01	-3.39E+01	1.29E-08
1.07E+09	4.12E+01	-6.87E+01	1.29E-08
1.08E+09	4.11E+01	-1.04E+02	1.30E-08
1.09E+09	4.11E+01	-1.38E+02	1.31E-08
1.10E+09	4.09E+01	-1.74E+02	1.26E-08
1.10E+09	4.08E+01	1.52E+02	1.30E-08
1.11E+09	4.06E+01	1.18E+02	1.25E-08
1.12E+09	4.06E+01	8.48E+01	1.25E-08
1.13E+09	4.04E+01	5.12E+01	1.22E-08
1.13E+09	4.05E+01	1.81E+01	1.23E-08
1.14E+09	4.07E+01	-1.59E+01	1.23E-08
1.15E+09	4.09E+01	-4.86E+01	1.29E-08
1.16E+09	4.10E+01	-8.46E+01	1.28E-08
1.16E+09	4.11E+01	-1.20E+02	1.32E-08
